scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,margin_level,candidate_id,sweep_stage
m0_probe__b1p10__v1p04__m02__f10__dcff8aecbf5b00ece824,1.1,1.04,2,10,1.937462216e-09,2.219750274e-09,2.200126471e-09,5.226937024e-09,282.28805800000004,262.664255,19.62380300000001,1.439676925e-07,1.444270629e-07,0,stable_low,1,1.9976833701923074e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p04__m02__f10__dcff8aecbf5b00ece824,e25bfe75e63dc80e10de2688f1518b3c929fa56c705a7637b8a499b5c525d3bd,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,fine
m0_probe__b1p10__v1p03__m02__f10__d80c40e14a4573ac6628,1.1,1.03,2,10,1.945163072e-09,2.236036771e-09,2.211579322e-09,5.239168414e-09,290.87369900000004,266.41625000000005,24.457448999999997,1.05769162e-07,1.228584224e-07,0,stable_low,1,2.1794795572815532e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p03__m02__f10__d80c40e14a4573ac6628,febdc79b17d3af5160cd20138a941ae6f57745d20a2e1536a3b56d1239090a16,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,fine
m0_probe__b1p10__v1p02__m02__f10__e640ce073af5b1a302a3,1.1,1.02,2,10,1.953430379e-09,2.252945377e-09,2.223664767e-09,5.252219606e-09,299.514998,270.23438800000025,29.28060999999974,1.139111375e-07,9.701323975e-08,0,stable_low,1,1.9726703470588238e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p02__m02__f10__e640ce073af5b1a302a3,1662934dcb232a6d103f979dad56b94415a93f53a49a0a7f5d6c958b8b9d243e,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,fine
m0_probe__b1p10__v1p01__m02__f10__f55d3935dd39b7c09b8c,1.1,1.01,2,10,1.962033361e-09,2.271606857e-09,2.236562224e-09,5.266175164e-09,309.5734959999999,274.52886300000023,35.04463299999969,1.0099995777,1.009999679,1,stable_high,1,2.550147189108911e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p01__m02__f10__f55d3935dd39b7c09b8c,7d22ce19881b8e19ec0f24ad522e447e827595e0e59afb2bec924cdb1adbc993,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,fine
m0_probe__b1p10__v1p00__m02__f10__495bb0d76b3b91c4d315,1.1,1.0,2,10,1.970833789e-09,2.290749288e-09,2.249795433e-09,5.280071018e-09,319.91549899999995,278.9616440000001,40.95385499999986,0.9999997078,0.9999997133,1,stable_high,1,3.085855727e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p00__m02__f10__495bb0d76b3b91c4d315,3460d0b748ee94e6b2c7f9ae54d53bba0bd8de1d916d03102fe00be73c5c516c,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L1,1p10_L1,coarse
m0_probe__b1p10__v1p10__m03__f08__3d4c6e61ae61d8fa30d1,1.1,1.1,3,8,1.896564865e-09,2.1360482e-09,2.157671645e-09,5.180798665e-09,239.48333500000015,261.10677999999984,-21.62344499999969,4.935793211e-08,4.99135898e-08,0,stable_low,1,1.846061439090909e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m03__f08__3d4c6e61ae61d8fa30d1,18c426611c00ce4868e950d8fa64a03f2fcb63450b71b9b558599dc5c1554e88,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,coarse
m0_probe__b1p10__v1p05__m03__f08__e01ad0e163e1a4db020d,1.1,1.05,3,8,1.929998514e-09,2.204422726e-09,2.209804953e-09,5.236154128e-09,274.4242119999998,279.8064389999998,-5.382227,5.902303072e-08,1.548388838e-07,0,stable_low,1,1.9851187428571426e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p05__m03__f08__e01ad0e163e1a4db020d,dec6d254327074062424a68df4f69bac7dc9d1bffc46f335fb76ff86cd5c1fc8,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,coarse
m0_probe__b1p10__v1p00__m03__f08__058fc9c3e58cfbbaff54,1.1,1.0,3,8,1.970833789e-09,2.290763491e-09,2.273581481e-09,5.303954176e-09,319.92970199999996,302.74769200000014,17.18200999999982,-4.663271409e-08,5.560424595e-07,0,stable_low,1,1.721635839e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p00__m03__f08__058fc9c3e58cfbbaff54,207a7f18bb62f258f9aa5d0f6c39998e67ffaeb03120a5c47884c2f88cd4b80a,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,coarse
m0_probe__b1p10__v0p99__m03__f08__a98226a37469d059d4c9,1.1,0.99,3,8,1.980088983e-09,2.310388289e-09,2.28783405e-09,5.319197568e-09,330.29930599999983,307.745067,22.554238999999825,5.680890716e-08,-4.88079054e-08,0,stable_low,1,3.2906882404040404e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v0p99__m03__f08__a98226a37469d059d4c9,f7ce2dd1d2715aef7b59c1d7b0ccfe07e15f18534a25285cd056b382cc9b4434,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,fine
m0_probe__b1p10__v0p98__m03__f08__55bc5583322c07488dc9,1.1,0.98,3,8,1.989735481e-09,2.331952933e-09,2.30300095e-09,5.33553673e-09,342.217452,313.2654689999998,28.951983000000155,1.410279727e-07,1.178837138e-07,0,stable_low,1,2.7439469928571426e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v0p98__m03__f08__55bc5583322c07488dc9,9fa4196ee0dc5e44d4d8d29fa538c64459d64c1e7c4c3545fa8fa935a27b942d,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,fine
m0_probe__b1p10__v0p97__m03__f08__20738f74e715e84e5fe3,1.1,0.97,3,8,2.000073749e-09,2.354488982e-09,2.318915368e-09,5.352589908e-09,354.41523300000017,318.84161900000015,35.57361400000002,-2.07799054e-07,-3.663824584e-08,0,stable_low,1,1.676096707216495e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v0p97__m03__f08__20738f74e715e84e5fe3,7ed372879cb09d902b1b0bb1d7e23dc5665a6ad9f2b226c86d1e42f276e1d145,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,fine
m0_probe__b1p10__v0p96__m03__f08__d34f6199e8124b73773c,1.1,0.96,3,8,2.010753494e-09,2.37823766e-09,2.335441487e-09,5.370167314e-09,367.4841660000001,324.687993,42.79617300000007,0.9599998276,0.9599996401,1,stable_high,1,2.74113386875e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v0p96__m03__f08__d34f6199e8124b73773c,dfc2a6809ce9965b64260c0de2ae52683be719c683092bf667cbf2e4c7921ebe,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,fine
m0_probe__b1p10__v0p95__m03__f08__8d0d7ad9770d8ab910f4,1.1,0.95,3,8,2.02223944e-09,2.403456066e-09,2.352995856e-09,5.389233971e-09,381.21662600000036,330.75641600000023,50.46021000000013,0.9499996193,0.9499996591,1,stable_high,1,1.6709463442105264e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v0p95__m03__f08__8d0d7ad9770d8ab910f4,623977c2d6c0ff05cb4c5d5260ff6addef01e71ae43af8bc5b0d6b0de94a830b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L2,1p10_L2,coarse
m0_probe__b1p10__v1p10__m03__f10__ab94cf51af4fc10777d8,1.1,1.1,3,10,1.896564865e-09,2.136049511e-09,2.17191501e-09,5.194857561e-09,239.48464600000014,275.350145,-35.86549899999986,-8.043631789e-07,-8.107009822e-07,0,stable_low,1,3.231216297272727e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p10__m03__f10__ab94cf51af4fc10777d8,a9098d1c555da2aa3869c1d520895104c39f1a41b25b87e71c868c08da4e3557,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,1p10_L3,coarse
m0_probe__b1p10__v1p05__m03__f10__b3745498b6e1fd183788,1.1,1.05,3,10,1.929998514e-09,2.204424906e-09,2.224580166e-09,5.2509282e-09,274.42639199999996,294.581652,-20.155260000000055,1.98184065e-07,1.644105468e-07,0,stable_low,1,2.0659342580952382e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p05__m03__f10__b3745498b6e1fd183788,92cb38e1146b2acb755ee9fd90de5cac7f0ec32e096f7fdd9250818d33c8d972,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,1p10_L3,coarse
m0_probe__b1p10__v1p00__m03__f10__7bd789ce56da05a5464e,1.1,1.0,3,10,1.970833789e-09,2.290766913e-09,2.289160695e-09,5.319658399e-09,319.9331240000002,318.326906,1.606218000000183,3.182209898e-08,7.480429972e-08,0,stable_low,1,1.871739458e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v1p00__m03__f10__7bd789ce56da05a5464e,e92fc75b350b72419258809ccf936acf3513e3649f7d958d673e28d4650c37c9,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,1p10_L3,coarse
m0_probe__b1p10__v0p95__m03__f10__80392c0c0594b9c0d896,1.1,0.95,3,10,2.02223944e-09,2.403465305e-09,2.369467459e-09,5.40534973e-09,381.225865,347.22801899999996,33.99784600000004,-4.732236282e-07,8.941267164e-08,0,stable_low,1,2.3279788336842105e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b1p10__v0p95__m03__f10__80392c0c0594b9c0d896,63b363084ba116f54c09b358ba2d633eb4dedd5c3f25667eb78e27b60841cd10,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,L3,1p10_L3,coarse
