seed,mc_random_signature,target_event,q_ff_target,M_FF_target,M_REF_RISE,M_REF_FALL,D_M_D04,H_D_D04,D04_detected,locked_rise_margin,locked_fall_margin,pre_attack_alarm_count,pre_attack_polarities,pre_attack_D_M,pre_attack_margin_selected,pre_attack_alarm_vector,first_alarm_latency_ns,first_alarm_latency_basis,rail_resolved,source_measurements_sha256,source_mc0_sha256,capture_sha256
41012,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,21 ns RISE,000000000000000000000111111111,225,204,182,21,-1,0,22,24,0,RISE;FALL,22;0,22;24,0;0,N/A,derived_fixed_tim0_pipeline,True,b7fcae6dc40bda01f07027239024911e52375fbf736690450af5d72bca4b2683,dc83bf2c88abf58c7ba0d433e12f69eacbbd1d0cab8656413a5d4f7b0312b70a,392e2524b29a509a450392f5a4bce54db93d7de716fe8c483925daabfb871578
41013,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,21 ns RISE,000000000000000000011111111111,264,235,204,29,7,1,22,24,0,RISE;FALL,10;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,e5df1fc9aaa21cd4c979b422c71f676bfbaba5afd98c7f498b50249ba7ebb2e1,90beab9909658d23e0012e7637a91d991631521ee450e28413ab9928879a57ac,36ad6bc5ea6d53e9990da3e4bc4378e23929eaec163ccb8d506bdc42dfc15769
41014,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,21 ns RISE,000000000000000000000111111111,225,182,159,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,317e330ea6dfba8065e53a8c22dc7cfa57d87aefb9a694317156ab8af1d7fa27,0e5cb2ca7f7ccfc8ad0a1250e036eb672ad5c5fde6ba17d04f1ec142d99de28e,89a53cf55ede525d4dac7b005bf3097a13a6def7b4a36e5d56b1fa593145cdd7
41015,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,21 ns RISE,000000000000000000000111111111,225,204,159,21,-1,0,22,24,0,RISE;FALL,0;0,22;24,0;0,N/A,derived_fixed_tim0_pipeline,True,b360a215b53ba4f0039f9a1ceb96f9369005cd5d119a61be0a36ae37612ffebd,95515683f44b1939c1d01b2db202e8c2c9eed3a4f7c438a8e12c785938eefb16,3319ae1eb9a95bfa30e6fa140cea5f49d604721dabe0daac1922dc119e34df62
41016,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,21 ns RISE,000000000000000000000011111111,204,182,159,22,0,0,22,24,0,RISE;FALL,0;0,22;24,0;0,N/A,derived_fixed_tim0_pipeline,True,c4a70162038185c7389c109f72101abc5335ed3a5714cd561b81142eeccbddfa,2594796b000fd5479c66809f83e6713c5e8a9727bbe83a6196ab03988006f840,af6fb6946cf50243c8a9da7f6ecef55e09bf56fc086c9cb5d48a7e5366470705
41017,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,21 ns RISE,000000000000000000000111111111,225,198,170,27,5,1,22,24,0,RISE;FALL,16;11,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,13b4d53574e1fc7fe29c931133aad233a8b8ed72740053863220361780b7544b,c34382a667dd8cc545533ea16d72daaf7d6ba186f5667ca1a564617b04c9ecb6,89a53cf55ede525d4dac7b005bf3097a13a6def7b4a36e5d56b1fa593145cdd7
41018,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,21 ns RISE,000000000000000000001111111111,245,219,193,26,4,1,22,24,0,RISE;FALL,15;11,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,791457868eb20b54dde9f8750860f3766b940ad666c60270e5642b015aff050e,8cb34317510a8296ac29064c3440760ef25a5b1752a3530a26f4e9ccecb8037f,da235b77732bb79fe15d348bc32e95a85e78563e92b4d7425a8a2b959286a473
41019,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,21 ns RISE,000000000000000000000111111111,225,187,159,38,16,1,22,24,0,RISE;FALL,5;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,ce8f83bb4fafa7c39ddbb48d792e081ac60acf15685b12714e2d7fe1e8089f18,437e05be16901b388e821693068e27dde5a0683fe8495926fee89e645bf9859b,ad8a950ae1d9df37d85d4faec7e5fd5004789ed0fd46334a726161eafac73a4b
41020,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,21 ns RISE,000000000000000000000001111111,182,159,135,23,1,1,22,24,0,RISE;FALL,0;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,3e12fa27960ab8d17a79a9a497953993664a04fadfe567dfdc33b048b2454470,b48598f9e8a58241ea42072ac52bd8e8725ed0a97a15f1c7584a8e042e847e0e,2b008f094ec2b1a598ee25156e1bd5b7c9f9a70e171ba386588f484ad0e60b79
41021,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,21 ns RISE,000000000000000000000111111111,225,182,141,43,21,1,22,24,0,RISE;FALL,0;6,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,3f48cc062c4260a79a6ceab8815f2956afc032185ec7c0aeb4e4d6c4ed98c504,1ce5545a8958ae8c34ae67b6b2bce4f6f0975f5687b9e4df691f73b9e066df1d,288eab93e43a965f6bc55e9e832b70a7a5d6f48ff0b90395fb901fdf46ab3ffa
41022,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,21 ns RISE,000000000000000000000111111111,225,204,159,21,-1,0,22,24,0,RISE;FALL,22;0,22;24,0;0,N/A,derived_fixed_tim0_pipeline,True,cec118783038edfa2c501a87f4f49e0f45caa433d49ab1f5f303123ae8ffaa4c,8dc3015b9efc93bd169599e094be40db3d65d70b1395d2de3e6ccaa4cc92e718,f9c983613fda6e1fe0e022e2be0852a033a27178a37add769f09c32e80020e44
41023,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,21 ns RISE,000000000000000000001111111111,245,209,182,36,14,1,22,24,0,RISE;FALL,5;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,f469cc972b96fe8e387ef3a8117b33288bdb8e46e8cb8c75451081d05bb23e9e,660c1b0eff4898892f4b1cf4b95d774daa48c13209a01b9784e1be7b754c79c3,da235b77732bb79fe15d348bc32e95a85e78563e92b4d7425a8a2b959286a473
41024,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,21 ns RISE,000000000000000000000011111111,204,164,147,40,18,1,22,24,0,RISE;FALL,5;12,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,1a7fee42da7b6cb35894f19cbc843836bb0730160875b1fff3f261cd00028812,1176e2d4debe6ee8f7503f63ff998f1e4df22c5096ff51170a0eb1e92a62e078,d90799127585c4f2f98715f66debefee7bfde8533ac318ccacefd2bc2105889c
41025,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,21 ns RISE,000000000000000000001111111111,245,225,204,20,-2,0,22,24,0,RISE;FALL,21;0,22;24,0;0,N/A,derived_fixed_tim0_pipeline,True,c7272ea35006d8be53527a5ae5ff4442f50d5e6f1d0b92751c55b2f87facb86a,9b1c51091b33d9f578492fa768f0292ab27ef2a24ed9cbcac1c8831f749b291c,23add37cc61cd9dd4fdea4971c06f10f261389e59e2c00b185e2f27d98973e81
41026,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,21 ns RISE,000000000000000000000011111111,204,164,153,40,18,1,22,24,0,RISE;FALL,5;6,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,609773d3691aea1dd165fb794a940e67045d069fed8b0f93815ccb95938167e4,94163e55396450a04b7a5db0c0fdab556ae80afa0ac390d6b799fe15e2b602c8,60239d797546ef19c0b43d6555ec95254df94c9b180a2c6ce74dfca6caa93103
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,21 ns RISE,000000000000000000000001111111,182,153,135,29,7,1,22,24,0,RISE;FALL,18;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,edb65ccaf33ea10f65da75700ec0c9f135395c6e5a0aa17f7fabf93b00e28ad2,de2edb49968cac7e4e17481d3ed7a49d3e23733da150ce517afb18f7fe313bd8,1208898d6796896c9b774094489afb7da514bbaa5c32c34991ade41526c8c68a
41028,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,21 ns RISE,000000000000000000001111111111,245,204,176,41,19,1,22,24,0,RISE;FALL,0;6,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,81881c7b3677186f62dd92f32fdcea323adf258ddfaafe35104d0fd48df8add8,f485c453f005c931f5a7368cfcab32f90ad73a82dcef49e66a0c50c858d8a5b1,3652bb735217369d4e3f3e5e8bf06967eace2d521cb63c98ba15e06dea7e1049
41029,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,21 ns RISE,000000000000000000000011111111,204,159,153,45,23,1,22,24,0,RISE;FALL,0;6,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,29618aedc3e889af7ee870df5e27ee77ae5e8f455bddd219c3a4f32cb5f1ed46,0b8103e2bc170715294cdfcccb8fe4c02f9c3c11486f27cf313bca6fef1321f6,60239d797546ef19c0b43d6555ec95254df94c9b180a2c6ce74dfca6caa93103
41030,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,21 ns RISE,000000000000000000000111111111,225,198,182,27,5,1,22,24,0,RISE;FALL,16;0,22;24,0;0,19.334524618567,derived_fixed_tim0_pipeline,True,74bf04603454e73050e5c49018781acfad40b7f36d8b27268b54375579a16195,4f927d99b8c04c814c8a7a0bf721630ef643384cc1b72e4b445fba3cbef55e3a,392e2524b29a509a450392f5a4bce54db93d7de716fe8c483925daabfb871578
