seed,temperature_c,event_index,polarity,m_ff,calibration,alarm_a18,alarm_b18,alarm_a19,alarm_b19,sticky_a18,sticky_b18,sticky_a19,sticky_b19,before_a18_rise,before_a18_fall,before_b18_rise,before_b18_fall,before_a19_rise,before_a19_fall,before_b19_rise,before_b19_fall,after_a18_rise,after_a18_fall,after_b18_rise,after_b18_fall,after_a19_rise,after_a19_fall,after_b19_rise,after_b19_fall,lock_a18,lock_b18,lock_a19,lock_b19,event_count
41002,-40,6,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,78
41002,-40,7,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,79
41002,-40,8,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,80
41002,-40,9,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,81
41002,-40,10,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,82
41002,-40,11,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,83
41002,-40,12,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,84
41002,-40,13,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,85
41002,-40,14,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,86
41002,-40,15,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,87
41002,-40,16,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,88
41002,-40,17,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,89
41002,-40,18,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,90
41002,-40,19,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,91
41002,-40,20,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,92
41002,-40,21,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,93
41002,-40,22,0,182,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,94
41002,-40,23,1,159,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,95
41002,125,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
41002,125,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
41002,125,-1,0,204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
41002,125,-1,0,182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,0,0,0,0,99
41002,125,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,100
41002,125,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,101
41002,125,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,198,0,0,0,0,0,102
41002,125,-1,1,182,1,0,0,0,0,0,0,0,0,198,0,198,0,198,0,198,0,198,182,198,182,198,182,198,182,1,1,1,1,103
41002,125,0,0,204,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,104
41002,125,1,1,204,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,105
41002,125,2,0,204,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,106
41002,125,3,1,204,0,0,0,0,0,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,107
41002,125,4,0,225,0,1,1,1,1,0,0,0,0,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,108
41002,125,5,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,109
41002,125,6,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,110
41002,125,7,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,111
41002,125,8,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,112
41002,125,9,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,113
41002,125,10,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,114
41002,125,11,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,115
41002,125,12,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,116
41002,125,13,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,117
41002,125,14,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,118
41002,125,15,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,119
41002,125,16,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,120
41002,125,17,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,121
41002,125,18,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,122
41002,125,19,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,123
41002,125,20,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,124
41002,125,21,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,125
41002,125,22,0,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,126
41002,125,23,1,204,0,0,0,0,0,1,1,1,1,198,182,198,182,198,182,198,182,198,182,198,182,198,182,198,182,1,1,1,1,127
41003,-40,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
41003,-40,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
41003,-40,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
41003,-40,-1,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,0,0,0,0,131
41003,-40,-1,1,135,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,0,0,0,0,132
41003,-40,-1,1,110,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,0,0,0,0,133
41003,-40,-1,1,135,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,159,0,0,0,0,0,134
41003,-40,-1,1,135,1,0,0,0,0,0,0,0,0,159,0,159,0,159,0,159,0,159,128,159,128,159,128,159,128,1,1,1,1,135
41003,-40,0,0,135,0,1,1,1,1,0,0,0,0,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,136
41003,-40,1,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,137
41003,-40,2,0,135,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,138
41003,-40,3,1,84,0,1,1,1,1,1,1,1,1,159,128,159,128,159,128,159,128,159,128,159,128,159,128,159,128,1,1,1,1,139
