seed,voltage_v,mc_random_signature,M_REF_FALL,M_DROOP_FALL,D_M_FALL,signed_DeltaM_FALL,q_ff_droop_fall,q_ff_rail_resolved
41014,0.92,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,286,260,26,26,000111111111111100000000000000,True
41015,0.92,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,258,220,38,38,000011111111111000000000000000,True
41016,0.92,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,258,234,24,24,000011111111111100000000000000,True
41017,0.92,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,220,185,35,35,000000111111111100000000000000,True
41018,0.92,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,315,273,42,42,000111111111111110000000000000,True
41019,0.92,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,258,220,38,38,000011111111111000000000000000,True
41020,0.92,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,189,195,6,-6,000001111111111000000000000000,True
41021,0.92,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,231,195,36,36,000001111111111000000000000000,True
41022,0.92,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,220,185,35,35,000000111111111100000000000000,True
41023,0.92,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,315,273,42,42,000111111111111110000000000000,True
41024,0.92,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,231,195,36,36,000001111111111000000000000000,True
41025,0.92,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,344,328,16,16,011111111111111110000000000000,True
41026,0.92,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,205,171,34,34,000000111111111000000000000000,True
41027,0.92,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,140,148,8,-8,000000011111111000000000000000,True
41028,0.92,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,273,234,39,39,000011111111111100000000000000,True
41029,0.92,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,231,220,11,11,000011111111111000000000000000,True
41030,0.92,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,341,328,13,13,011111111111111110000000000000,True
41001,0.89,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,180,153,27,27,000000001111111110000000000000,True
41002,0.89,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,273,234,39,39,000001111111111111000000000000,True
41003,0.89,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,242,185,57,57,000000111111111100000000000000,True
41004,0.89,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,315,273,42,42,000111111111111110000000000000,True
41005,0.89,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,273,234,39,39,000001111111111111000000000000,True
41006,0.89,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,148,124,24,24,000000000011111111000000000000,True
41007,0.89,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,246,210,36,36,000000111111111111000000000000,True
41008,0.89,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,246,210,36,36,000000111111111111000000000000,True
41009,0.89,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,286,222,64,64,000001111111111110000000000000,True
41010,0.89,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,286,222,64,64,000001111111111110000000000000,True
41011,0.89,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,258,222,36,36,000001111111111110000000000000,True
41012,0.89,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,246,187,59,59,000000011111111111000000000000,True
41013,0.89,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,209,176,33,33,000000001111111111100000000000,True
41014,0.89,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,286,222,64,64,000001111111111110000000000000,True
41015,0.89,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,258,198,60,60,000000111111111110000000000000,True
41016,0.89,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,258,198,60,60,000000111111111110000000000000,True
41017,0.89,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,220,187,33,33,000000011111111111000000000000,True
41018,0.89,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,315,270,45,45,000011111111111111100000000000,True
41019,0.89,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,258,198,60,60,000000111111111110000000000000,True
41020,0.89,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,189,162,27,27,000000011111111100000000000000,True
41021,0.89,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,231,198,33,33,000000111111111110000000000000,True
41022,0.89,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,220,175,45,45,000000011111111110000000000000,True
41023,0.89,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,315,270,45,45,000011111111111111100000000000,True
41024,0.89,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,231,198,33,33,000000111111111110000000000000,True
41025,0.89,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,344,323,21,21,001111111111111111100000000000,True
41026,0.89,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,205,175,30,30,000000011111111110000000000000,True
41027,0.89,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,140,119,21,21,000000000111111100000000000000,True
41028,0.89,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,273,210,63,63,000000111111111111000000000000,True
41029,0.89,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,231,198,33,33,000000111111111110000000000000,True
41030,0.89,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,341,285,56,56,000111111111111111000000000000,True
41001,0.86,872f414712bc0a75e7e7e5db29cf2e9b43fab71f3535e8480ad882302177bc4d,180,135,45,45,000000000011111111100000000000,True
41002,0.86,6dace8106119b4409b89fa9089489bb4a8a08408e2b4e60cc383a9ec26beb652,273,208,65,65,000000011111111111110000000000,True
41003,0.86,633c1708c14f0ca327d366892321ebd783a5a158d0ca863392266115d27742d5,242,153,89,89,000000001111111110000000000000,True
41004,0.86,8ba9c1a71d742bcb0f4b20065d63276a64bf8373f9edc9b9a83a1683806bbf23,315,234,81,81,000001111111111111000000000000,True
41005,0.86,78ec35f87dabab08082cd50954fc18094bbb1de54b7d81418fdede92caa2bd1f,273,198,75,75,000000011111111111100000000000,True
41006,0.86,696854591f8b714e22e7ead41c95225b4703902d0f6115afa40b4e6798fc3190,148,98,50,50,000000000000111111100000000000,True
41007,0.86,18955488bf7a297b208b8a7f3cb70b618e6d9f7f0ea87e8f5651c30a4028ea92,246,176,70,70,000000001111111111100000000000,True
41008,0.86,73462fedaeeab1ba2b4e0f816532d1795bdfb0f65eb930eb4a6a9f345c007502,246,176,70,70,000000001111111111100000000000,True
41009,0.86,43df2a9a140ba65a4ec960d914267c160e0578006ff6a647af8d9c102036abb4,286,198,88,88,000000011111111111100000000000,True
41010,0.86,ddd71eb247598986e0f2ee5fe98fc066deb22fc5aeae14f6fe1c618fa300fd86,286,221,65,65,000000111111111111100000000000,True
41011,0.86,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,258,210,48,48,000000111111111111000000000000,True
41012,0.86,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,246,155,91,91,000000000111111111100000000000,True
41013,0.86,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,209,145,64,64,000000000011111111110000000000,True
41014,0.86,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,286,221,65,65,000000111111111111100000000000,True
41015,0.86,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,258,187,71,71,000000011111111111000000000000,True
41016,0.86,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,258,187,71,71,000000011111111111000000000000,True
41017,0.86,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,220,155,65,65,000000000111111111100000000000,True
41018,0.86,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,315,231,84,84,000000111111111111110000000000,True
41019,0.86,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,258,165,93,93,000000001111111111000000000000,True
41020,0.86,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,189,144,45,45,000000000111111111000000000000,True
41021,0.86,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,231,165,66,66,000000001111111111000000000000,True
41022,0.86,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,220,155,65,65,000000000111111111100000000000,True
41023,0.86,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,315,231,84,84,000000111111111111110000000000,True
41024,0.86,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,231,165,66,66,000000001111111111000000000000,True
41025,0.86,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,344,280,64,64,000011111111111111110000000000,True
41026,0.86,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,205,144,61,61,000000000111111111000000000000,True
41027,0.86,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,140,105,35,35,000000000001111111000000000000,True
41028,0.86,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,273,198,75,75,000000011111111111100000000000,True
41029,0.86,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,231,165,66,66,000000001111111111000000000000,True
41030,0.86,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,341,255,86,86,000001111111111111110000000000,True
