margin,rule,normal_count,normal_alarm_count,fpr,droop_count,droop_alarm_count,tpr,fnr
187,D_M > margin,30,0,0.0,30,0,0.0,1.0
188,D_M > margin,30,0,0.0,30,0,0.0,1.0
189,D_M > margin,30,0,0.0,30,0,0.0,1.0
190,D_M > margin,30,0,0.0,30,0,0.0,1.0
191,D_M > margin,30,0,0.0,30,0,0.0,1.0
192,D_M > margin,30,0,0.0,30,0,0.0,1.0
193,D_M > margin,30,0,0.0,30,0,0.0,1.0
194,D_M > margin,30,0,0.0,30,0,0.0,1.0
195,D_M > margin,30,0,0.0,30,0,0.0,1.0
196,D_M > margin,30,0,0.0,30,0,0.0,1.0
197,D_M > margin,30,0,0.0,30,0,0.0,1.0
198,D_M > margin,30,0,0.0,30,0,0.0,1.0
199,D_M > margin,30,0,0.0,30,0,0.0,1.0
200,D_M > margin,30,0,0.0,30,0,0.0,1.0
201,D_M > margin,30,0,0.0,30,0,0.0,1.0
202,D_M > margin,30,0,0.0,30,0,0.0,1.0
203,D_M > margin,30,0,0.0,30,0,0.0,1.0
204,D_M > margin,30,0,0.0,30,0,0.0,1.0
205,D_M > margin,30,0,0.0,30,0,0.0,1.0
206,D_M > margin,30,0,0.0,30,0,0.0,1.0
207,D_M > margin,30,0,0.0,30,0,0.0,1.0
208,D_M > margin,30,0,0.0,30,0,0.0,1.0
209,D_M > margin,30,0,0.0,30,0,0.0,1.0
210,D_M > margin,30,0,0.0,30,0,0.0,1.0
211,D_M > margin,30,0,0.0,30,0,0.0,1.0
212,D_M > margin,30,0,0.0,30,0,0.0,1.0
213,D_M > margin,30,0,0.0,30,0,0.0,1.0
214,D_M > margin,30,0,0.0,30,0,0.0,1.0
215,D_M > margin,30,0,0.0,30,0,0.0,1.0
216,D_M > margin,30,0,0.0,30,0,0.0,1.0
217,D_M > margin,30,0,0.0,30,0,0.0,1.0
218,D_M > margin,30,0,0.0,30,0,0.0,1.0
219,D_M > margin,30,0,0.0,30,0,0.0,1.0
220,D_M > margin,30,0,0.0,30,0,0.0,1.0
221,D_M > margin,30,0,0.0,30,0,0.0,1.0
222,D_M > margin,30,0,0.0,30,0,0.0,1.0
223,D_M > margin,30,0,0.0,30,0,0.0,1.0
224,D_M > margin,30,0,0.0,30,0,0.0,1.0
225,D_M > margin,30,0,0.0,30,0,0.0,1.0
226,D_M > margin,30,0,0.0,30,0,0.0,1.0
227,D_M > margin,30,0,0.0,30,0,0.0,1.0
228,D_M > margin,30,0,0.0,30,0,0.0,1.0
229,D_M > margin,30,0,0.0,30,0,0.0,1.0
230,D_M > margin,30,0,0.0,30,0,0.0,1.0
231,D_M > margin,30,0,0.0,30,0,0.0,1.0
232,D_M > margin,30,0,0.0,30,0,0.0,1.0
233,D_M > margin,30,0,0.0,30,0,0.0,1.0
234,D_M > margin,30,0,0.0,30,0,0.0,1.0
235,D_M > margin,30,0,0.0,30,0,0.0,1.0
236,D_M > margin,30,0,0.0,30,0,0.0,1.0
237,D_M > margin,30,0,0.0,30,0,0.0,1.0
238,D_M > margin,30,0,0.0,30,0,0.0,1.0
239,D_M > margin,30,0,0.0,30,0,0.0,1.0
240,D_M > margin,30,0,0.0,30,0,0.0,1.0
241,D_M > margin,30,0,0.0,30,0,0.0,1.0
242,D_M > margin,30,0,0.0,30,0,0.0,1.0
243,D_M > margin,30,0,0.0,30,0,0.0,1.0
244,D_M > margin,30,0,0.0,30,0,0.0,1.0
245,D_M > margin,30,0,0.0,30,0,0.0,1.0
246,D_M > margin,30,0,0.0,30,0,0.0,1.0
247,D_M > margin,30,0,0.0,30,0,0.0,1.0
248,D_M > margin,30,0,0.0,30,0,0.0,1.0
249,D_M > margin,30,0,0.0,30,0,0.0,1.0
250,D_M > margin,30,0,0.0,30,0,0.0,1.0
251,D_M > margin,30,0,0.0,30,0,0.0,1.0
252,D_M > margin,30,0,0.0,30,0,0.0,1.0
253,D_M > margin,30,0,0.0,30,0,0.0,1.0
254,D_M > margin,30,0,0.0,30,0,0.0,1.0
255,D_M > margin,30,0,0.0,30,0,0.0,1.0
256,D_M > margin,30,0,0.0,30,0,0.0,1.0
257,D_M > margin,30,0,0.0,30,0,0.0,1.0
258,D_M > margin,30,0,0.0,30,0,0.0,1.0
259,D_M > margin,30,0,0.0,30,0,0.0,1.0
260,D_M > margin,30,0,0.0,30,0,0.0,1.0
261,D_M > margin,30,0,0.0,30,0,0.0,1.0
262,D_M > margin,30,0,0.0,30,0,0.0,1.0
263,D_M > margin,30,0,0.0,30,0,0.0,1.0
264,D_M > margin,30,0,0.0,30,0,0.0,1.0
265,D_M > margin,30,0,0.0,30,0,0.0,1.0
266,D_M > margin,30,0,0.0,30,0,0.0,1.0
267,D_M > margin,30,0,0.0,30,0,0.0,1.0
268,D_M > margin,30,0,0.0,30,0,0.0,1.0
269,D_M > margin,30,0,0.0,30,0,0.0,1.0
270,D_M > margin,30,0,0.0,30,0,0.0,1.0
271,D_M > margin,30,0,0.0,30,0,0.0,1.0
272,D_M > margin,30,0,0.0,30,0,0.0,1.0
273,D_M > margin,30,0,0.0,30,0,0.0,1.0
274,D_M > margin,30,0,0.0,30,0,0.0,1.0
275,D_M > margin,30,0,0.0,30,0,0.0,1.0
276,D_M > margin,30,0,0.0,30,0,0.0,1.0
277,D_M > margin,30,0,0.0,30,0,0.0,1.0
278,D_M > margin,30,0,0.0,30,0,0.0,1.0
279,D_M > margin,30,0,0.0,30,0,0.0,1.0
280,D_M > margin,30,0,0.0,30,0,0.0,1.0
281,D_M > margin,30,0,0.0,30,0,0.0,1.0
282,D_M > margin,30,0,0.0,30,0,0.0,1.0
283,D_M > margin,30,0,0.0,30,0,0.0,1.0
284,D_M > margin,30,0,0.0,30,0,0.0,1.0
285,D_M > margin,30,0,0.0,30,0,0.0,1.0
286,D_M > margin,30,0,0.0,30,0,0.0,1.0
287,D_M > margin,30,0,0.0,30,0,0.0,1.0
288,D_M > margin,30,0,0.0,30,0,0.0,1.0
289,D_M > margin,30,0,0.0,30,0,0.0,1.0
290,D_M > margin,30,0,0.0,30,0,0.0,1.0
291,D_M > margin,30,0,0.0,30,0,0.0,1.0
292,D_M > margin,30,0,0.0,30,0,0.0,1.0
293,D_M > margin,30,0,0.0,30,0,0.0,1.0
294,D_M > margin,30,0,0.0,30,0,0.0,1.0
295,D_M > margin,30,0,0.0,30,0,0.0,1.0
296,D_M > margin,30,0,0.0,30,0,0.0,1.0
297,D_M > margin,30,0,0.0,30,0,0.0,1.0
298,D_M > margin,30,0,0.0,30,0,0.0,1.0
299,D_M > margin,30,0,0.0,30,0,0.0,1.0
300,D_M > margin,30,0,0.0,30,0,0.0,1.0
301,D_M > margin,30,0,0.0,30,0,0.0,1.0
302,D_M > margin,30,0,0.0,30,0,0.0,1.0
303,D_M > margin,30,0,0.0,30,0,0.0,1.0
304,D_M > margin,30,0,0.0,30,0,0.0,1.0
305,D_M > margin,30,0,0.0,30,0,0.0,1.0
306,D_M > margin,30,0,0.0,30,0,0.0,1.0
307,D_M > margin,30,0,0.0,30,0,0.0,1.0
308,D_M > margin,30,0,0.0,30,0,0.0,1.0
309,D_M > margin,30,0,0.0,30,0,0.0,1.0
310,D_M > margin,30,0,0.0,30,0,0.0,1.0
311,D_M > margin,30,0,0.0,30,0,0.0,1.0
312,D_M > margin,30,0,0.0,30,0,0.0,1.0
313,D_M > margin,30,0,0.0,30,0,0.0,1.0
314,D_M > margin,30,0,0.0,30,0,0.0,1.0
315,D_M > margin,30,0,0.0,30,0,0.0,1.0
316,D_M > margin,30,0,0.0,30,0,0.0,1.0
317,D_M > margin,30,0,0.0,30,0,0.0,1.0
318,D_M > margin,30,0,0.0,30,0,0.0,1.0
319,D_M > margin,30,0,0.0,30,0,0.0,1.0
320,D_M > margin,30,0,0.0,30,0,0.0,1.0
321,D_M > margin,30,0,0.0,30,0,0.0,1.0
322,D_M > margin,30,0,0.0,30,0,0.0,1.0
323,D_M > margin,30,0,0.0,30,0,0.0,1.0
324,D_M > margin,30,0,0.0,30,0,0.0,1.0
325,D_M > margin,30,0,0.0,30,0,0.0,1.0
326,D_M > margin,30,0,0.0,30,0,0.0,1.0
327,D_M > margin,30,0,0.0,30,0,0.0,1.0
328,D_M > margin,30,0,0.0,30,0,0.0,1.0
329,D_M > margin,30,0,0.0,30,0,0.0,1.0
330,D_M > margin,30,0,0.0,30,0,0.0,1.0
331,D_M > margin,30,0,0.0,30,0,0.0,1.0
332,D_M > margin,30,0,0.0,30,0,0.0,1.0
333,D_M > margin,30,0,0.0,30,0,0.0,1.0
334,D_M > margin,30,0,0.0,30,0,0.0,1.0
335,D_M > margin,30,0,0.0,30,0,0.0,1.0
336,D_M > margin,30,0,0.0,30,0,0.0,1.0
337,D_M > margin,30,0,0.0,30,0,0.0,1.0
338,D_M > margin,30,0,0.0,30,0,0.0,1.0
339,D_M > margin,30,0,0.0,30,0,0.0,1.0
340,D_M > margin,30,0,0.0,30,0,0.0,1.0
341,D_M > margin,30,0,0.0,30,0,0.0,1.0
342,D_M > margin,30,0,0.0,30,0,0.0,1.0
343,D_M > margin,30,0,0.0,30,0,0.0,1.0
344,D_M > margin,30,0,0.0,30,0,0.0,1.0
345,D_M > margin,30,0,0.0,30,0,0.0,1.0
346,D_M > margin,30,0,0.0,30,0,0.0,1.0
347,D_M > margin,30,0,0.0,30,0,0.0,1.0
348,D_M > margin,30,0,0.0,30,0,0.0,1.0
349,D_M > margin,30,0,0.0,30,0,0.0,1.0
350,D_M > margin,30,0,0.0,30,0,0.0,1.0
351,D_M > margin,30,0,0.0,30,0,0.0,1.0
352,D_M > margin,30,0,0.0,30,0,0.0,1.0
353,D_M > margin,30,0,0.0,30,0,0.0,1.0
354,D_M > margin,30,0,0.0,30,0,0.0,1.0
355,D_M > margin,30,0,0.0,30,0,0.0,1.0
356,D_M > margin,30,0,0.0,30,0,0.0,1.0
357,D_M > margin,30,0,0.0,30,0,0.0,1.0
358,D_M > margin,30,0,0.0,30,0,0.0,1.0
359,D_M > margin,30,0,0.0,30,0,0.0,1.0
360,D_M > margin,30,0,0.0,30,0,0.0,1.0
361,D_M > margin,30,0,0.0,30,0,0.0,1.0
362,D_M > margin,30,0,0.0,30,0,0.0,1.0
363,D_M > margin,30,0,0.0,30,0,0.0,1.0
364,D_M > margin,30,0,0.0,30,0,0.0,1.0
365,D_M > margin,30,0,0.0,30,0,0.0,1.0
366,D_M > margin,30,0,0.0,30,0,0.0,1.0
367,D_M > margin,30,0,0.0,30,0,0.0,1.0
368,D_M > margin,30,0,0.0,30,0,0.0,1.0
369,D_M > margin,30,0,0.0,30,0,0.0,1.0
370,D_M > margin,30,0,0.0,30,0,0.0,1.0
371,D_M > margin,30,0,0.0,30,0,0.0,1.0
372,D_M > margin,30,0,0.0,30,0,0.0,1.0
373,D_M > margin,30,0,0.0,30,0,0.0,1.0
374,D_M > margin,30,0,0.0,30,0,0.0,1.0
375,D_M > margin,30,0,0.0,30,0,0.0,1.0
376,D_M > margin,30,0,0.0,30,0,0.0,1.0
377,D_M > margin,30,0,0.0,30,0,0.0,1.0
378,D_M > margin,30,0,0.0,30,0,0.0,1.0
379,D_M > margin,30,0,0.0,30,0,0.0,1.0
380,D_M > margin,30,0,0.0,30,0,0.0,1.0
381,D_M > margin,30,0,0.0,30,0,0.0,1.0
382,D_M > margin,30,0,0.0,30,0,0.0,1.0
383,D_M > margin,30,0,0.0,30,0,0.0,1.0
384,D_M > margin,30,0,0.0,30,0,0.0,1.0
385,D_M > margin,30,0,0.0,30,0,0.0,1.0
386,D_M > margin,30,0,0.0,30,0,0.0,1.0
387,D_M > margin,30,0,0.0,30,0,0.0,1.0
388,D_M > margin,30,0,0.0,30,0,0.0,1.0
389,D_M > margin,30,0,0.0,30,0,0.0,1.0
390,D_M > margin,30,0,0.0,30,0,0.0,1.0
391,D_M > margin,30,0,0.0,30,0,0.0,1.0
392,D_M > margin,30,0,0.0,30,0,0.0,1.0
393,D_M > margin,30,0,0.0,30,0,0.0,1.0
394,D_M > margin,30,0,0.0,30,0,0.0,1.0
395,D_M > margin,30,0,0.0,30,0,0.0,1.0
396,D_M > margin,30,0,0.0,30,0,0.0,1.0
397,D_M > margin,30,0,0.0,30,0,0.0,1.0
398,D_M > margin,30,0,0.0,30,0,0.0,1.0
399,D_M > margin,30,0,0.0,30,0,0.0,1.0
400,D_M > margin,30,0,0.0,30,0,0.0,1.0
401,D_M > margin,30,0,0.0,30,0,0.0,1.0
402,D_M > margin,30,0,0.0,30,0,0.0,1.0
403,D_M > margin,30,0,0.0,30,0,0.0,1.0
404,D_M > margin,30,0,0.0,30,0,0.0,1.0
405,D_M > margin,30,0,0.0,30,0,0.0,1.0
406,D_M > margin,30,0,0.0,30,0,0.0,1.0
407,D_M > margin,30,0,0.0,30,0,0.0,1.0
408,D_M > margin,30,0,0.0,30,0,0.0,1.0
409,D_M > margin,30,0,0.0,30,0,0.0,1.0
410,D_M > margin,30,0,0.0,30,0,0.0,1.0
411,D_M > margin,30,0,0.0,30,0,0.0,1.0
412,D_M > margin,30,0,0.0,30,0,0.0,1.0
413,D_M > margin,30,0,0.0,30,0,0.0,1.0
414,D_M > margin,30,0,0.0,30,0,0.0,1.0
415,D_M > margin,30,0,0.0,30,0,0.0,1.0
416,D_M > margin,30,0,0.0,30,0,0.0,1.0
417,D_M > margin,30,0,0.0,30,0,0.0,1.0
418,D_M > margin,30,0,0.0,30,0,0.0,1.0
419,D_M > margin,30,0,0.0,30,0,0.0,1.0
420,D_M > margin,30,0,0.0,30,0,0.0,1.0
421,D_M > margin,30,0,0.0,30,0,0.0,1.0
422,D_M > margin,30,0,0.0,30,0,0.0,1.0
423,D_M > margin,30,0,0.0,30,0,0.0,1.0
424,D_M > margin,30,0,0.0,30,0,0.0,1.0
425,D_M > margin,30,0,0.0,30,0,0.0,1.0
426,D_M > margin,30,0,0.0,30,0,0.0,1.0
427,D_M > margin,30,0,0.0,30,0,0.0,1.0
428,D_M > margin,30,0,0.0,30,0,0.0,1.0
429,D_M > margin,30,0,0.0,30,0,0.0,1.0
430,D_M > margin,30,0,0.0,30,0,0.0,1.0
431,D_M > margin,30,0,0.0,30,0,0.0,1.0
432,D_M > margin,30,0,0.0,30,0,0.0,1.0
433,D_M > margin,30,0,0.0,30,0,0.0,1.0
434,D_M > margin,30,0,0.0,30,0,0.0,1.0
435,D_M > margin,30,0,0.0,30,0,0.0,1.0
