mode,point_kind,vdd_v,droop_mv,raw_thermometer_word,normalized_raw_word,corrected_thermometer_word,sensor_code,raw_bubble_count,bubble_count,code_valid,reset_failure_count,rvt_031_cross_s,lvt_031_cross_s,rvt_lvt_diff_031_s,final_taps_arrived,residual_code,measurement_file
rvt_lvt,grid,8.400000000000e-01,2.600000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.291289387000e-09,2.300779278000e-09,9.489890958000e-12,1,1,scenarios/v0p840000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.450000000000e-01,2.550000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.265667085000e-09,2.275158306000e-09,9.491220499000e-12,1,1,scenarios/v0p845000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.500000000000e-01,2.500000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.240603233000e-09,2.250658004000e-09,1.005477062000e-11,1,1,scenarios/v0p850000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.550000000000e-01,2.450000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.216339212000e-09,2.227387274000e-09,1.104806255000e-11,1,1,scenarios/v0p855000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.600000000000e-01,2.400000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.193153059000e-09,2.204350714000e-09,1.119765539000e-11,1,1,scenarios/v0p860000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.650000000000e-01,2.350000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.170740212000e-09,2.182268365000e-09,1.152815252000e-11,1,1,scenarios/v0p865000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.700000000000e-01,2.300000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.149232708000e-09,2.161122138000e-09,1.188942958000e-11,1,1,scenarios/v0p870000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.750000000000e-01,2.250000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.128269045000e-09,2.140632235000e-09,1.236319035000e-11,1,1,scenarios/v0p875000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.800000000000e-01,2.200000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.107847351000e-09,2.120788035000e-09,1.294068423000e-11,1,1,scenarios/v0p880000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.850000000000e-01,2.150000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.088190452000e-09,2.102308955000e-09,1.411850305000e-11,1,1,scenarios/v0p885000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.900000000000e-01,2.100000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.069336564000e-09,2.083686146000e-09,1.434958240000e-11,1,1,scenarios/v0p890000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,8.950000000000e-01,2.050000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.051201407000e-09,2.065650017000e-09,1.444860905000e-11,1,1,scenarios/v0p895000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.000000000000e-01,2.000000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.033294480000e-09,2.048186721000e-09,1.489224053000e-11,1,1,scenarios/v0p900000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.050000000000e-01,1.950000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,2.016275592000e-09,2.031360635000e-09,1.508504353000e-11,1,1,scenarios/v0p905000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.100000000000e-01,1.900000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.999878332000e-09,2.015090460000e-09,1.521212848000e-11,1,1,scenarios/v0p910000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.150000000000e-01,1.850000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.984079559000e-09,1.999045721000e-09,1.496616248000e-11,1,1,scenarios/v0p915000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.200000000000e-01,1.800000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.968711914000e-09,1.983618394000e-09,1.490647995000e-11,1,1,scenarios/v0p920000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.250000000000e-01,1.750000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.953514272000e-09,1.968467482000e-09,1.495321007000e-11,1,1,scenarios/v0p925000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.300000000000e-01,1.700000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.938833329000e-09,1.954115923000e-09,1.528259408000e-11,1,1,scenarios/v0p930000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.350000000000e-01,1.650000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.924280829000e-09,1.940353114000e-09,1.607228495000e-11,1,1,scenarios/v0p935000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.400000000000e-01,1.600000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.910619441000e-09,1.927264654000e-09,1.664521307000e-11,1,1,scenarios/v0p940000000000/phase3_voltage_code.mt0.csv
rvt_lvt,grid,9.450000000000e-01,1.550000000000e+02,11110100000000000000000000000000,00001011111111111111111111111111,00000111111111111111111111111111,5,1,0,1,0,1.897219207000e-09,1.913837644000e-09,1.661843771000e-11,1,1,scenarios/v0p945000000000/phase3_voltage_code.mt0.csv
