policy,t_pos_rise,delta_r,healthy_positive_false_alarms,d01_coverage,d02_coverage,d04_coverage,d01_min_signed_headroom,d02_min_signed_headroom,d04_min_signed_headroom,effective_threshold_min,effective_threshold_max,safe_combined_criterion
A_TRACK_SOURCE,18,-44,360,30/30,30/30,30/30,46,67,46,18,18,0
A_TRACK_SOURCE,18,-43,360,30/30,30/30,30/30,45,66,45,18,18,0
A_TRACK_SOURCE,18,-42,360,30/30,30/30,30/30,44,65,44,18,18,0
A_TRACK_SOURCE,18,-41,360,30/30,30/30,30/30,43,64,43,18,18,0
A_TRACK_SOURCE,18,-40,354,30/30,30/30,30/30,42,63,42,18,18,0
A_TRACK_SOURCE,18,-39,352,30/30,30/30,30/30,41,62,41,18,18,0
A_TRACK_SOURCE,18,-38,352,30/30,30/30,30/30,40,61,40,18,18,0
A_TRACK_SOURCE,18,-37,352,30/30,30/30,30/30,39,60,39,18,18,0
A_TRACK_SOURCE,18,-36,347,30/30,30/30,30/30,38,59,38,18,18,0
A_TRACK_SOURCE,18,-35,340,30/30,30/30,30/30,37,58,37,18,18,0
A_TRACK_SOURCE,18,-34,315,30/30,30/30,30/30,36,57,36,18,18,0
A_TRACK_SOURCE,18,-33,308,30/30,30/30,30/30,35,56,35,18,18,0
A_TRACK_SOURCE,18,-32,308,30/30,30/30,30/30,34,55,34,18,18,0
A_TRACK_SOURCE,18,-31,308,30/30,30/30,30/30,33,54,33,18,18,0
A_TRACK_SOURCE,18,-30,308,30/30,30/30,30/30,32,53,32,18,18,0
A_TRACK_SOURCE,18,-29,308,30/30,30/30,30/30,31,52,31,18,18,0
A_TRACK_SOURCE,18,-28,300,30/30,30/30,30/30,30,51,30,18,18,0
A_TRACK_SOURCE,18,-27,300,30/30,30/30,30/30,29,50,29,18,18,0
A_TRACK_SOURCE,18,-26,300,30/30,30/30,30/30,28,49,28,18,18,0
A_TRACK_SOURCE,18,-25,300,30/30,30/30,30/30,27,48,27,18,18,0
A_TRACK_SOURCE,18,-24,300,30/30,30/30,30/30,26,47,26,18,18,0
A_TRACK_SOURCE,18,-23,234,30/30,30/30,30/30,25,46,25,18,18,0
A_TRACK_SOURCE,18,-22,234,30/30,30/30,30/30,24,45,24,18,18,0
A_TRACK_SOURCE,18,-21,234,30/30,30/30,30/30,23,44,23,18,18,0
A_TRACK_SOURCE,18,-20,234,30/30,30/30,30/30,22,43,22,18,18,0
