vdd_v,tap_index,rvt_cross_s,lvt_cross_s,delta_signed_ps,xor_width_proxy_ps,lead_path
1.05,1,1.097165857e-09,1.025034756e-09,72.131101,72.131101,LVT
1.05,2,1.118497235e-09,1.038826309e-09,79.670926,79.670926,LVT
1.05,3,1.139809695e-09,1.052609537e-09,87.200158,87.200158,LVT
1.05,4,1.161137848e-09,1.066376534e-09,94.761314,94.761314,LVT
1.05,5,1.18254774e-09,1.080138951e-09,102.408789,102.408789,LVT
1.05,6,1.203894382e-09,1.093925378e-09,109.969004,109.969004,LVT
1.05,7,1.225252597e-09,1.107714814e-09,117.537783,117.537783,LVT
1.05,8,1.246577432e-09,1.121469175e-09,125.108257,125.108257,LVT
1.05,9,1.267943566e-09,1.135220696e-09,132.72287,132.72287,LVT
1.05,10,1.289325209e-09,1.149037826e-09,140.287383,140.287383,LVT
1.05,11,1.310663934e-09,1.162809486e-09,147.854448,147.854448,LVT
1.05,12,1.332064516e-09,1.176534772e-09,155.529744,155.529744,LVT
1.05,13,1.353478646e-09,1.190341015e-09,163.137631,163.137631,LVT
1.05,14,1.374878564e-09,1.204142695e-09,170.735869,170.735869,LVT
1.05,15,1.396219885e-09,1.217874061e-09,178.345824,178.345824,LVT
1.05,16,1.417534307e-09,1.231673576e-09,185.860731,185.860731,LVT
1.05,17,1.438923785e-09,1.245395716e-09,193.528069,193.528069,LVT
1.05,18,1.460274444e-09,1.259204184e-09,201.07026,201.07026,LVT
1.05,19,1.481627807e-09,1.273000955e-09,208.626852,208.626852,LVT
1.05,20,1.502995264e-09,1.28673594e-09,216.259324,216.259324,LVT
1.05,21,1.524471204e-09,1.3004973e-09,223.973904,223.973904,LVT
1.05,22,1.54570901e-09,1.314337122e-09,231.371888,231.371888,LVT
1.05,23,1.567103362e-09,1.32808817e-09,239.015192,239.015192,LVT
1.05,24,1.588431026e-09,1.341845188e-09,246.585838,246.585838,LVT
1.05,25,1.609787927e-09,1.355607571e-09,254.180356,254.180356,LVT
1.05,26,1.63118151e-09,1.369394771e-09,261.786739,261.786739,LVT
1.05,27,1.652581129e-09,1.383163592e-09,269.417537,269.417537,LVT
1.05,28,1.673955104e-09,1.396926294e-09,277.02881,277.02881,LVT
1.05,29,1.693968459e-09,1.409307149e-09,284.66131,284.66131,LVT
1.04,0,1.077524803e-09,1.011417498e-09,66.107305,66.107305,LVT
1.04,1,1.099306562e-09,1.025423923e-09,73.882639,73.882639,LVT
1.04,2,1.121099581e-09,1.039444868e-09,81.654713,81.654713,LVT
1.04,3,1.142891113e-09,1.053435832e-09,89.455281,89.455281,LVT
1.04,4,1.164726092e-09,1.067478377e-09,97.247715,97.247715,LVT
1.04,5,1.186572131e-09,1.081476806e-09,105.095325,105.095325,LVT
1.04,6,1.208362069e-09,1.095438895e-09,112.923174,112.923174,LVT
1.04,7,1.230164653e-09,1.109472676e-09,120.691977,120.691977,LVT
1.04,8,1.25196173e-09,1.123477606e-09,128.484124,128.484124,LVT
1.04,9,1.27381735e-09,1.137436844e-09,136.380506,136.380506,LVT
1.04,10,1.295687078e-09,1.151484108e-09,144.20297,144.20297,LVT
1.04,11,1.317548952e-09,1.165505952e-09,152.043,152.043,LVT
1.04,12,1.33938845e-09,1.179462105e-09,159.926345,159.926345,LVT
1.04,13,1.361216373e-09,1.193498198e-09,167.718175,167.718175,LVT
1.04,14,1.383072735e-09,1.207527979e-09,175.544756,175.544756,LVT
1.04,15,1.404830777e-09,1.221463456e-09,183.367321,183.367321,LVT
1.04,16,1.426674807e-09,1.235420514e-09,191.254293,191.254293,LVT
1.04,17,1.448530615e-09,1.249478376e-09,199.052239,199.052239,LVT
1.04,18,1.470478209e-09,1.263393558e-09,207.084651,207.084651,LVT
1.04,19,1.4922229e-09,1.277314642e-09,214.908258,214.908258,LVT
1.04,20,1.514152917e-09,1.291335641e-09,222.817276,222.817276,LVT
1.04,21,1.53595064e-09,1.305166291e-09,230.784349,230.784349,LVT
1.04,22,1.557733029e-09,1.319210508e-09,238.522521,238.522521,LVT
1.04,23,1.579529572e-09,1.333229342e-09,246.30023,246.30023,LVT
1.04,24,1.601253648e-09,1.347241897e-09,254.011751,254.011751,LVT
1.04,25,1.623093699e-09,1.36125622e-09,261.837479,261.837479,LVT
1.04,26,1.644976728e-09,1.375241646e-09,269.735082,269.735082,LVT
1.04,27,1.666624435e-09,1.389239163e-09,277.385272,277.385272,LVT
1.04,28,1.688438691e-09,1.403284287e-09,285.154404,285.154404,LVT
1.04,29,1.708826476e-09,1.415835819e-09,292.990657,292.990657,LVT
1.03,0,1.079127988e-09,1.011533391e-09,67.594597,67.594597,LVT
1.03,1,1.101372272e-09,1.025772176e-09,75.600096,75.600096,LVT
1.03,2,1.123663698e-09,1.040020745e-09,83.642953,83.642953,LVT
1.03,3,1.14595004e-09,1.0543026e-09,91.64744,91.64744,LVT
1.03,4,1.168223124e-09,1.068566867e-09,99.656257,99.656257,LVT
1.03,5,1.190552629e-09,1.082821292e-09,107.731337,107.731337,LVT
1.03,6,1.212889408e-09,1.097001987e-09,115.887421,115.887421,LVT
1.03,7,1.235196927e-09,1.111307935e-09,123.888992,123.888992,LVT
1.03,8,1.257439965e-09,1.125485549e-09,131.954416,131.954416,LVT
1.03,9,1.2797233e-09,1.139690909e-09,140.032391,140.032391,LVT
1.03,10,1.301997553e-09,1.154006905e-09,147.990648,147.990648,LVT
1.03,11,1.324395512e-09,1.16819497e-09,156.200542,156.200542,LVT
1.03,12,1.346732937e-09,1.1824251e-09,164.307837,164.307837,LVT
1.03,13,1.369051202e-09,1.196705707e-09,172.345495,172.345495,LVT
1.03,14,1.391382021e-09,1.210906695e-09,180.475326,180.475326,LVT
1.03,15,1.41360538e-09,1.22522013e-09,188.38525,188.38525,LVT
1.03,16,1.435965444e-09,1.239424837e-09,196.540607,196.540607,LVT
1.03,17,1.458248017e-09,1.253612419e-09,204.635598,204.635598,LVT
1.03,18,1.4804714e-09,1.267883473e-09,212.587927,212.587927,LVT
1.03,19,1.502699087e-09,1.282055423e-09,220.643664,220.643664,LVT
1.03,20,1.525160073e-09,1.296232173e-09,228.9279,228.9279,LVT
1.03,21,1.547333908e-09,1.310449739e-09,236.884169,236.884169,LVT
1.03,22,1.569720968e-09,1.324698139e-09,245.022829,245.022829,LVT
1.03,23,1.591930193e-09,1.338938082e-09,252.992111,252.992111,LVT
1.03,24,1.614239912e-09,1.353198366e-09,261.041546,261.041546,LVT
1.03,25,1.636575875e-09,1.367450747e-09,269.125128,269.125128,LVT
1.03,26,1.658910294e-09,1.381689996e-09,277.220298,277.220298,LVT
1.03,27,1.681287209e-09,1.395897611e-09,285.389598,285.389598,LVT
1.03,28,1.703520068e-09,1.410058036e-09,293.462032,293.462032,LVT
1.03,29,1.72431902e-09,1.423011795e-09,301.307225,301.307225,LVT
1.02,0,1.080909658e-09,1.011700336e-09,69.209322,69.209322,LVT
1.02,1,1.103638331e-09,1.026173077e-09,77.465254,77.465254,LVT
1.02,2,1.126450289e-09,1.040686138e-09,85.764151,85.764151,LVT
1.02,3,1.149251275e-09,1.055223081e-09,94.028194,94.028194,LVT
1.02,4,1.172079493e-09,1.069709421e-09,102.370072,102.370072,LVT
1.02,5,1.194901338e-09,1.084231843e-09,110.669495,110.669495,LVT
1.02,6,1.217730468e-09,1.098662476e-09,119.067992,119.067992,LVT
1.02,7,1.240560955e-09,1.113221614e-09,127.339341,127.339341,LVT
1.02,8,1.263370211e-09,1.12768301e-09,135.687201,135.687201,LVT
1.02,9,1.286152397e-09,1.14216286e-09,143.989537,143.989537,LVT
1.02,10,1.308917738e-09,1.156658882e-09,152.258856,152.258856,LVT
1.02,11,1.331794788e-09,1.171108896e-09,160.685892,160.685892,LVT
1.02,12,1.354648074e-09,1.18563669e-09,169.011384,169.011384,LVT
1.02,13,1.377483733e-09,1.200143566e-09,177.340167,177.340167,LVT
1.02,14,1.400302088e-09,1.214603037e-09,185.699051,185.699051,LVT
1.02,15,1.423135281e-09,1.229167005e-09,193.968276,193.968276,LVT
1.02,16,1.445955462e-09,1.243636094e-09,202.319368,202.319368,LVT
1.02,17,1.46874703e-09,1.258080146e-09,210.666884,210.666884,LVT
1.02,18,1.491585324e-09,1.272600767e-09,218.984557,218.984557,LVT
1.02,19,1.51443946e-09,1.287043367e-09,227.396093,227.396093,LVT
1.02,20,1.537198941e-09,1.301385408e-09,235.813533,235.813533,LVT
1.02,21,1.560099437e-09,1.315931908e-09,244.167529,244.167529,LVT
1.02,22,1.582939572e-09,1.330464253e-09,252.475319,252.475319,LVT
1.02,23,1.605741636e-09,1.344942077e-09,260.799559,260.799559,LVT
1.02,24,1.628570265e-09,1.35944034e-09,269.129925,269.129925,LVT
