seed,mc_random_signature,M_REF_i,M_NORMAL_i,M_DROOP_i,DeltaM_NORMAL_i,DeltaM_DROOP_i,q_ff_normal,q_ff_droop,normal_q_ff_rail_resolved,droop_q_ff_rail_resolved,M_CAL_0,M_CAL_1,M_CAL_2,M_CAL_3
41020,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,286,286,246,0,40,011111111111110000000000000000,000111111111111000000000000000,True,True,286,286,286,286
41021,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,286,286,260,0,26,011111111111110000000000000000,000111111111111100000000000000,True,True,286,286,286,286
41022,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,246,246,209,0,37,000111111111111000000000000000,000001111111111100000000000000,True,True,246,246,246,246
41023,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,344,344,328,0,16,111111111111111100000000000000,011111111111111110000000000000,True,True,344,344,344,344
41024,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,286,286,246,0,40,011111111111110000000000000000,000111111111111000000000000000,True,True,286,286,286,286
41025,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,344,344,357,0,-13,111111111111111100000000000000,111111111111111110000000000000,True,True,344,344,344,344
41026,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,231,231,209,0,22,000111111111110000000000000000,000001111111111100000000000000,True,True,231,231,231,231
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,189,189,171,0,18,000011111111100000000000000000,000000111111111000000000000000,True,True,189,189,189,189
41028,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,337,330,300,7,37,111111111111111000000000000000,001111111111111110000000000000,True,True,344,330,344,330
41029,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,258,258,246,0,12,001111111111110000000000000000,000111111111111000000000000000,True,True,258,258,258,258
41030,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,330,330,344,0,-14,111111111111111000000000000000,111111111111111100000000000000,True,True,330,330,330,330
