scenario_id,baseline_vdd_v,physical_vdd_v,medium_code,fine_code,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_final_v,q_final_late_v,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,scenario_path,deck_sha256,physical_contract_sha256,Delta_D_ref_ps,Delta_R_ps
m0_probe__b0p80__v0p80__m08__f09__c8c642293aa5d531366e,0.8,0.8,8,9,2.291693145e-09,3.076557376e-09,3.111444797e-09,6.177910915e-09,784.8642310000002,819.7516520000001,-34.887420999999904,5.25791542e-07,-5.936523789e-06,0,stable_low,1,0.07984750976249999,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p80__v0p80__m08__f09__c8c642293aa5d531366e,81739bce219343e8899fbf220127654a69d3c7a0c7a5a5ec2aee3b55c1502f83,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,94.64021200000013,-94.80396999999982
m0_probe__b0p95__v0p95__m03__f03__244ed24f2771bfe48854,0.95,0.95,3,3,2.02223944e-09,2.403465745e-09,2.314614487e-09,5.350744302e-09,381.2263050000003,292.3750470000002,88.85125800000009,0.9499997039,0.9499997051,1,stable_high,1,2.98175228631579e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m03__f03__244ed24f2771bfe48854,aedbb8aaef97f8e2bb10e49e496bd9cc5187a89198e0395f1123f92b5fd534e9,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-66.11265499999985,66.03577400000006
m0_probe__b0p95__v0p95__m03__f04__6db421f671321e0111b5,0.95,0.95,3,4,2.02223944e-09,2.403462801e-09,2.321663369e-09,5.357522901e-09,381.2233610000003,299.4239290000004,81.79943199999991,0.9499996876,0.949999712,1,stable_high,1,1.7560393189473686e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m03__f04__6db421f671321e0111b5,6c2632ecbbd11965958f9f4cca611c929d98d7b2df561d53948c7fbd495a02e4,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-59.063772999999685,58.983947999999884
m0_probe__b0p95__v0p95__m03__f05__097ce5d770278b4c7cbc,0.95,0.95,3,5,2.02223944e-09,2.403437848e-09,2.329126354e-09,5.365290276e-09,381.19840800000014,306.8869140000002,74.31149399999993,0.9499997015,0.9499997037,1,stable_high,1,1.0336190616842107e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m03__f05__097ce5d770278b4c7cbc,907714e7bc9818aad82f68bb0cc6e99dda329d6bd1a14db316f7f73f03785ce6,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-51.60078799999985,51.4960099999999
m0_probe__b0p95__v0p95__m03__f06__e98271456403c6420b09,0.95,0.95,3,6,2.02223944e-09,2.403435061e-09,2.336899554e-09,5.373065204e-09,381.19562100000036,314.6601140000003,66.53550700000005,0.9499996922,0.9499996962,1,stable_high,1,1.7165812189473685e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m03__f06__e98271456403c6420b09,c0fba3e2d6ac1abce466dc85d908e6a227eacd0cbbb7f2e5ceb9dc0506cae8a7,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-43.827587999999764,43.720023000000026
m0_probe__b0p95__v0p95__m03__f07__34088df123b31022221a,0.95,0.95,3,7,2.02223944e-09,2.403446856e-09,2.344880683e-09,5.38076485e-09,381.2074160000001,322.6412430000002,58.56617299999988,0.9499996639,0.9499997237,1,stable_high,1,1.293810250526316e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m03__f07__34088df123b31022221a,cd609b1b10ef8b3da1d814dc33745cea3d04eeb55a9cd8a315e26ff0abf103bd,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-35.84645899999987,35.75068899999985
m0_probe__b0p95__v0p95__m03__f08__9acf9210cb92a7f25397,0.95,0.95,3,8,2.02223944e-09,2.403456066e-09,2.352995856e-09,5.389233971e-09,381.21662600000036,330.75641600000023,50.46021000000013,0.9499996193,0.9499996591,1,stable_high,1,1.6709463442105264e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m03__f08__9acf9210cb92a7f25397,623977c2d6c0ff05cb4c5d5260ff6addef01e71ae43af8bc5b0d6b0de94a830b,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-27.73128599999984,27.644726000000105
m0_probe__b0p95__v0p95__m03__f09__eba75f274613a38a2f83,0.95,0.95,3,9,2.02223944e-09,2.403461761e-09,2.361203863e-09,5.396775297e-09,381.2223210000002,338.9644230000001,42.25789800000007,1.219940449e-07,4.26312071e-07,0,stable_low,1,2.8776217989473685e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m03__f09__eba75f274613a38a2f83,acfa7bc8eb4b823f75885b1e865c2e615887afdc2b25b6989a9ec9ca4e852755,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-19.523278999999945,19.442414000000042
m0_probe__b0p95__v0p95__m04__f03__ddae476780090cffa4af,0.95,0.95,4,3,2.02223944e-09,2.40351952e-09,2.358435181e-09,5.394385096e-09,381.2800800000001,336.19574100000034,45.08433899999977,0.9499996628,0.9499997466,1,stable_high,1,2.5825267789473684e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f03__ddae476780090cffa4af,6c6f373292e85fae5fb3ce01c26e9d6e370c4ee8a42197e7c45216f01e76c2de,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-22.29196099999973,22.268854999999746
m0_probe__b0p95__v0p95__m04__f04__c22c5e312e7088fbf55c,0.95,0.95,4,4,2.02223944e-09,2.403530689e-09,2.365493812e-09,5.401115633e-09,381.2912490000003,343.25437200000016,38.03687700000012,0.9499996321,0.9499996833,1,stable_high,1,1.3937157915789473e-06,1,,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/m0_detection_margin_characterization/r1/scenarios/m0_probe__b0p95__v0p95__m04__f04__c22c5e312e7088fbf55c,fdaff622e7b52cc263a5236f6d2315bb37c14dce29b57ebe5cff97bebd32a223,3cadeaa3bcb0f064ce53751acd1af8456a043843e4733455b6b2250258faeea7,-15.23332999999991,15.221393000000091
