scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,reason,counted_operation,operation,phase,probe_index,changed_thermometer_bits,reset_asserted,reset_release_timing,sclk_low,configuration_edge_s,settle_s,configuration_ck_edge_count,code_constant_during_probe,intended_active_ck_edge_count,q_sample_count,q_samples_same_rail,recovery_guard_s
0p95_normal,15,coarse_increment,4,5,0,0,,True,True,transition:0p95_normal:coarse_increment:4:5:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,16,coarse_probe_a,5,5,0,0,coarse_probe_a,True,True,probe:0p95_normal:10,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,10,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,17,coarse_probe_b,5,5,0,0,coarse_probe_b,True,True,probe:0p95_normal:11,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,11,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,18,coarse_increment,5,6,0,0,,True,True,transition:0p95_normal:coarse_increment:5:6:0:0,replayed_frozen_protocol,True,config_update,coarse_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,19,coarse_probe_a,6,6,0,0,coarse_probe_a,True,True,probe:0p95_normal:12,replayed_frozen_protocol,True,compare_probe,coarse_probe_a,12,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,20,coarse_probe_b,6,6,0,0,coarse_probe_b,True,True,probe:0p95_normal:13,replayed_frozen_protocol,True,compare_probe,coarse_probe_b,13,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,21,coarse_backoff_step_1,6,5,0,0,,True,True,transition:0p95_normal:coarse_backoff_step:6:5:0:0,replayed_frozen_protocol,True,config_update,coarse_backoff_step_1,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,22,coarse_backoff_step_2,5,4,0,0,,True,True,,replayed_frozen_protocol,True,config_update,coarse_backoff_step_2,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
0p95_normal,23,fine_probe,4,4,0,0,fine_probe,True,True,probe:0p95_normal:18,replayed_frozen_protocol,True,compare_probe,fine_probe,18,0,False,frozen_reset_arm,False,0.0,0.0,0,True,1,2,True,2.7e-09
0p95_normal,24,fine_increment,4,4,0,1,,True,True,transition:0p95_normal:fine_increment:4:4:0:1,replayed_frozen_protocol,True,config_update,fine_increment,,1,True,,True,1e-11,1.5e-09,0,False,0,0,False,0.0
