scenario,probe_index,medium_code,fine_code,protocol_phase,q_state,reachable,selected_path,counterfactual_only,counterfactual_reason,formal_gate,electrical_valid,reason
0p80_normal,91,9,1,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,92,9,2,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,93,9,2,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p80_normal,94,9,3,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,95,9,3,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,96,9,4,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,97,9,4,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,98,9,5,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,99,9,5,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,100,9,6,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,101,9,6,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,102,9,7,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,103,9,7,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,104,9,8,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,105,9,8,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,106,9,9,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,107,9,9,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,108,9,10,fine_m9_scan,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p80_normal,109,9,10,fine_m9_repeat,stable_low,False,False,True,unselected_fine_branch,False,0,recovery_tail_not_below_0p1_vdd
0p95_normal,0,0,0,coarse_scan,stable_high,True,True,False,,True,1,
0p95_normal,1,0,0,coarse_repeat,stable_high,True,True,False,,True,1,
0p95_normal,2,1,0,coarse_scan,stable_high,True,True,False,,True,1,
0p95_normal,3,1,0,coarse_repeat,stable_high,True,True,False,,True,1,
0p95_normal,4,2,0,coarse_scan,stable_high,True,True,False,,True,1,
0p95_normal,5,2,0,coarse_repeat,stable_high,True,True,False,,True,1,
0p95_normal,6,3,0,coarse_scan,stable_high,True,True,False,,True,1,
0p95_normal,7,3,0,coarse_repeat,stable_high,True,True,False,,True,1,
0p95_normal,8,4,0,coarse_scan,stable_high,True,True,False,,True,1,
0p95_normal,9,4,0,coarse_repeat,stable_high,True,True,False,,True,1,
0p95_normal,10,5,0,coarse_scan,stable_high,True,True,False,,True,1,
0p95_normal,11,5,0,coarse_repeat,stable_high,True,True,False,,True,1,
0p95_normal,12,6,0,coarse_scan,stable_low,True,True,False,,True,1,
0p95_normal,13,6,0,coarse_repeat,stable_low,True,True,False,,True,1,
0p95_normal,14,7,0,coarse_scan,stable_low,False,False,True,after_coarse_stop,False,1,
0p95_normal,15,7,0,coarse_repeat,stable_low,False,False,True,after_coarse_stop,False,1,
0p95_normal,16,6,0,coarse_backoff,stable_low,False,False,True,coarse_backoff_probe_not_real_operation,False,1,
0p95_normal,17,5,0,coarse_backoff,stable_high,False,False,True,coarse_backoff_probe_not_real_operation,False,1,
0p95_normal,18,4,0,fine_m4_scan,stable_high,True,True,False,,True,1,
0p95_normal,19,4,0,fine_m4_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,20,4,1,fine_m4_scan,stable_high,True,True,False,,True,1,
0p95_normal,21,4,1,fine_m4_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,22,4,2,fine_m4_scan,stable_high,True,True,False,,True,1,
0p95_normal,23,4,2,fine_m4_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,24,4,3,fine_m4_scan,stable_high,True,True,False,,True,1,
0p95_normal,25,4,3,fine_m4_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,26,4,4,fine_m4_scan,stable_high,True,True,False,,True,1,
0p95_normal,27,4,4,fine_m4_repeat,stable_high,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,28,4,5,fine_m4_scan,stable_low,True,True,False,,True,1,
0p95_normal,29,4,5,fine_m4_repeat,stable_low,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,30,4,6,fine_m4_scan,stable_low,True,True,False,,True,1,
0p95_normal,31,4,6,fine_m4_repeat,stable_low,True,True,False,,True,1,
0p95_normal,32,4,7,fine_m4_scan,stable_low,False,False,True,after_fine_boundary,False,1,
0p95_normal,33,4,7,fine_m4_repeat,stable_low,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,34,4,8,fine_m4_scan,stable_low,False,False,True,after_fine_boundary,False,1,
0p95_normal,35,4,8,fine_m4_repeat,stable_low,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,36,4,9,fine_m4_scan,stable_low,False,False,True,after_fine_boundary,False,1,
0p95_normal,37,4,9,fine_m4_repeat,stable_low,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,38,4,10,fine_m4_scan,stable_low,False,False,True,after_fine_boundary,False,1,
0p95_normal,39,4,10,fine_m4_repeat,stable_low,False,False,True,fine_repeat_not_selected_as_lock_hold,False,1,
0p95_normal,40,4,9,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,41,4,8,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,42,4,7,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,43,4,6,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,44,4,5,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,45,4,4,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,46,4,3,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,47,4,2,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,48,4,1,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,49,4,0,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,50,5,0,fine_m5_scan,stable_high,False,False,True,unselected_fine_branch,False,1,
0p95_normal,51,5,0,fine_m5_repeat,stable_high,False,False,True,unselected_fine_branch,False,1,
0p95_normal,52,5,1,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,53,5,1,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,54,5,2,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,55,5,2,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,56,5,3,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,57,5,3,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,58,5,4,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,59,5,4,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,60,5,5,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,61,5,5,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,62,5,6,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,63,5,6,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,64,5,7,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,65,5,7,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,66,5,8,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,67,5,8,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,68,5,9,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,69,5,9,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,70,5,10,fine_m5_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,71,5,10,fine_m5_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,72,5,9,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,73,5,8,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,74,5,7,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,75,5,6,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,76,5,5,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,77,5,4,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,78,5,3,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,79,5,2,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,80,5,1,branch_cleanup,stable_low,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,81,5,0,branch_cleanup,stable_high,False,False,True,branch_cleanup_not_real_probe,False,1,
0p95_normal,82,6,0,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,83,6,0,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,84,6,1,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,85,6,1,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,86,6,2,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,87,6,2,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,88,6,3,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,89,6,3,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,90,6,4,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,91,6,4,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,92,6,5,fine_m6_scan,stable_low,False,False,True,unselected_fine_branch,False,1,
0p95_normal,93,6,5,fine_m6_repeat,stable_low,False,False,True,unselected_fine_branch,False,1,
