scenario,operation_index,operation_type,M_before,M_after,F_before,F_after,probe_kind,reachable,formal_gate,legacy_evidence_key,legacy_evidence_status,legacy_evidence_reason,reason,counted_operation
0p95_normal,32,fine_increment,4,4,4,5,,True,True,transition:0p95_normal:fine_increment:4:4:4:5,PASS,,replayed_frozen_protocol,True
0p95_normal,33,fine_probe,4,4,5,5,fine_probe,True,True,probe:0p95_normal:28,,,replayed_frozen_protocol,True
0p95_normal,34,fine_increment,4,4,5,6,,True,True,transition:0p95_normal:fine_increment:4:4:5:6,PASS,,frozen_guard_code_update,True
0p95_normal,35,guard_probe,4,4,6,6,guard_probe,True,True,probe:0p95_normal:30,,,replayed_frozen_protocol,True
0p95_normal,36,lock_hold_probe,4,4,6,6,lock_hold_probe,True,True,probe:0p95_normal:31,,,replayed_frozen_protocol,True
1p10_normal,0,initial_state,0,0,0,0,,True,False,,,,frozen_controller_initial_state,False
1p10_normal,1,coarse_probe_a,0,0,0,0,coarse_probe_a,True,True,probe:1p10_normal:0,,,replayed_frozen_protocol,True
1p10_normal,2,coarse_probe_b,0,0,0,0,coarse_probe_b,True,True,probe:1p10_normal:1,,,replayed_frozen_protocol,True
1p10_normal,3,coarse_increment,0,1,0,0,,True,True,transition:1p10_normal:coarse_increment:0:1:0:0,PASS,,replayed_frozen_protocol,True
1p10_normal,4,coarse_probe_a,1,1,0,0,coarse_probe_a,True,True,probe:1p10_normal:2,,,replayed_frozen_protocol,True
1p10_normal,5,coarse_probe_b,1,1,0,0,coarse_probe_b,True,True,probe:1p10_normal:3,,,replayed_frozen_protocol,True
1p10_normal,6,coarse_increment,1,2,0,0,,True,True,transition:1p10_normal:coarse_increment:1:2:0:0,PASS,,replayed_frozen_protocol,True
1p10_normal,7,coarse_probe_a,2,2,0,0,coarse_probe_a,True,True,probe:1p10_normal:4,,,replayed_frozen_protocol,True
1p10_normal,8,coarse_probe_b,2,2,0,0,coarse_probe_b,True,True,probe:1p10_normal:5,,,replayed_frozen_protocol,True
1p10_normal,9,coarse_increment,2,3,0,0,,True,True,transition:1p10_normal:coarse_increment:2:3:0:0,PASS,,replayed_frozen_protocol,True
1p10_normal,10,coarse_probe_a,3,3,0,0,coarse_probe_a,True,True,probe:1p10_normal:6,,,replayed_frozen_protocol,True
1p10_normal,11,coarse_probe_b,3,3,0,0,coarse_probe_b,True,True,probe:1p10_normal:7,,,replayed_frozen_protocol,True
1p10_normal,12,coarse_increment,3,4,0,0,,True,True,transition:1p10_normal:coarse_increment:3:4:0:0,PASS,,replayed_frozen_protocol,True
1p10_normal,13,coarse_probe_a,4,4,0,0,coarse_probe_a,True,True,probe:1p10_normal:8,,,replayed_frozen_protocol,True
1p10_normal,14,coarse_probe_b,4,4,0,0,coarse_probe_b,True,True,probe:1p10_normal:9,,,replayed_frozen_protocol,True
1p10_normal,15,coarse_backoff_step_1,4,3,0,0,,True,True,transition:1p10_normal:coarse_backoff_step:4:3:0:0,PASS,,replayed_frozen_protocol,True
1p10_normal,16,coarse_backoff_step_2,3,2,0,0,,True,True,,REQUIRES_EXACT_PATH_HSPICE,no_legacy_row_with_matching_complete_transition_identity,replayed_frozen_protocol,True
1p10_normal,17,fine_probe,2,2,0,0,fine_probe,True,True,probe:1p10_normal:14,,,replayed_frozen_protocol,True
1p10_normal,18,fine_increment,2,2,0,1,,True,True,transition:1p10_normal:fine_increment:2:2:0:1,PASS,,replayed_frozen_protocol,True
1p10_normal,19,fine_probe,2,2,1,1,fine_probe,True,True,probe:1p10_normal:16,,,replayed_frozen_protocol,True
1p10_normal,20,fine_increment,2,2,1,2,,True,True,transition:1p10_normal:fine_increment:2:2:1:2,PASS,,replayed_frozen_protocol,True
1p10_normal,21,fine_probe,2,2,2,2,fine_probe,True,True,probe:1p10_normal:18,,,replayed_frozen_protocol,True
1p10_normal,22,fine_increment,2,2,2,3,,True,True,transition:1p10_normal:fine_increment:2:2:2:3,PASS,,replayed_frozen_protocol,True
1p10_normal,23,fine_probe,2,2,3,3,fine_probe,True,True,probe:1p10_normal:20,,,replayed_frozen_protocol,True
1p10_normal,24,fine_increment,2,2,3,4,,True,True,transition:1p10_normal:fine_increment:2:2:3:4,PASS,,replayed_frozen_protocol,True
1p10_normal,25,fine_probe,2,2,4,4,fine_probe,True,True,probe:1p10_normal:22,,,replayed_frozen_protocol,True
1p10_normal,26,fine_increment,2,2,4,5,,True,True,transition:1p10_normal:fine_increment:2:2:4:5,PASS,,replayed_frozen_protocol,True
1p10_normal,27,fine_probe,2,2,5,5,fine_probe,True,True,probe:1p10_normal:24,,,replayed_frozen_protocol,True
1p10_normal,28,fine_increment,2,2,5,6,,True,True,transition:1p10_normal:fine_increment:2:2:5:6,PASS,,replayed_frozen_protocol,True
1p10_normal,29,fine_probe,2,2,6,6,fine_probe,True,True,probe:1p10_normal:26,,,replayed_frozen_protocol,True
1p10_normal,30,fine_increment,2,2,6,7,,True,True,transition:1p10_normal:fine_increment:2:2:6:7,PASS,,replayed_frozen_protocol,True
1p10_normal,31,fine_probe,2,2,7,7,fine_probe,True,True,probe:1p10_normal:28,,,replayed_frozen_protocol,True
1p10_normal,32,fine_increment,2,2,7,8,,True,True,transition:1p10_normal:fine_increment:2:2:7:8,PASS,,replayed_frozen_protocol,True
1p10_normal,33,fine_probe,2,2,8,8,fine_probe,True,True,probe:1p10_normal:30,,,replayed_frozen_protocol,True
1p10_normal,34,fine_increment,2,2,8,9,,True,True,transition:1p10_normal:fine_increment:2:2:8:9,PASS,,frozen_guard_code_update,True
1p10_normal,35,guard_probe,2,2,9,9,guard_probe,True,True,probe:1p10_normal:32,,,replayed_frozen_protocol,True
1p10_normal,36,lock_hold_probe,2,2,9,9,lock_hold_probe,True,True,probe:1p10_normal:33,,,replayed_frozen_protocol,True
