episode_id,transition_index,old_M,new_M,update_time_s,quiet_window_start_s,quiet_window_end_s,quiet_xor_v,quiet_medium_v,quiet_ck_v,configuration_ck_edge_count,status,reason
E03,50,0,1,6.016999999999998e-08,6.017999999999997e-08,6.172999999999996e-08,2.360434589e-05,0.0002830481935,3.976168662e-06,0,PASS,
E03,51,1,2,6.017999999999997e-08,6.018999999999997e-08,6.172999999999996e-08,1.473231876e-05,0.0002830481935,3.976168662e-06,0,PASS,
E03,52,2,3,6.018999999999997e-08,6.019999999999997e-08,6.172999999999996e-08,8.18259076e-07,0.0002590949261,8.141669174e-07,0,PASS,
E03,53,3,4,6.019999999999997e-08,6.020999999999997e-08,6.172999999999996e-08,8.18259076e-07,0.0001188510882,2.133722916e-07,0,PASS,
E03,54,4,5,6.020999999999997e-08,6.021999999999997e-08,6.172999999999996e-08,8.18259076e-07,5.621551106e-05,2.133722916e-07,0,PASS,
E03,55,5,6,6.021999999999997e-08,6.022999999999996e-08,6.172999999999996e-08,8.18259076e-07,2.70735527e-05,2.133722916e-07,0,PASS,
E03,56,6,7,6.022999999999996e-08,6.023999999999996e-08,6.172999999999996e-08,8.18259076e-07,1.32184769e-05,2.133722916e-07,0,PASS,
E03,57,7,8,6.792999999999996e-08,6.793999999999996e-08,6.942999999999995e-08,-1.192723179e-06,8.4741261e-07,3.497770694e-06,0,PASS,
E03,58,8,7,7.562999999999996e-08,7.563999999999995e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E03,59,7,6,7.563999999999995e-08,7.564999999999995e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E03,60,6,5,7.564999999999995e-08,7.565999999999995e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E03,61,5,4,7.565999999999995e-08,7.566999999999995e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E03,62,4,3,7.566999999999995e-08,7.567999999999995e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E03,63,3,2,7.567999999999995e-08,7.568999999999995e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E03,64,2,1,7.568999999999995e-08,7.569999999999994e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E03,65,1,0,7.569999999999994e-08,7.570999999999994e-08,8.228999999999991e-08,3.095776038e-05,0.00358060054,6.172833571e-06,0,PASS,
E04,66,0,1,8.070999999999993e-08,8.071999999999993e-08,8.228999999999991e-08,2.347436919e-05,0.0002830481524,3.952443913e-06,0,PASS,
E04,67,1,2,8.071999999999993e-08,8.072999999999993e-08,8.228999999999991e-08,1.46437151e-05,0.0002830481524,3.952443913e-06,0,PASS,
E04,68,2,3,8.072999999999993e-08,8.073999999999993e-08,8.228999999999991e-08,8.287090002e-07,0.0002590948966,7.943758781e-07,0,PASS,
E04,69,3,4,8.073999999999993e-08,8.074999999999993e-08,8.228999999999991e-08,8.287090002e-07,0.0001188510829,2.051756957e-07,0,PASS,
E04,70,4,5,8.074999999999993e-08,8.075999999999992e-08,8.228999999999991e-08,8.287090002e-07,5.621552131e-05,2.051756957e-07,0,PASS,
E04,71,5,6,8.075999999999992e-08,8.076999999999992e-08,8.228999999999991e-08,8.287090002e-07,2.707355563e-05,2.051756957e-07,0,PASS,
E04,72,6,7,8.076999999999992e-08,8.077999999999992e-08,8.228999999999991e-08,8.287090002e-07,1.321847641e-05,2.051756957e-07,0,PASS,
E04,73,7,8,8.077999999999992e-08,8.078999999999992e-08,8.228999999999991e-08,8.287090002e-07,6.665599865e-06,2.051756957e-07,0,PASS,
E04,74,8,9,8.078999999999992e-08,8.079999999999992e-08,8.228999999999991e-08,8.287090002e-07,3.561598055e-06,2.051756957e-07,0,PASS,
E04,75,9,8,8.848999999999991e-08,8.849999999999991e-08,8.998999999999991e-08,-4.243625413e-06,7.77580318e-07,7.311300891e-07,0,PASS,
E04,76,8,7,9.618999999999991e-08,9.619999999999991e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
E04,77,7,6,9.619999999999991e-08,9.62099999999999e-08,1.0283999999999987e-07,3.050120495e-05,0.003580599386,6.49655228e-06,0,PASS,
