episode_id,condition,probe_index,node,rise50_s,fall50_s,quiet_max_v,quiet_min_v,valid,reason
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,10,bclk,1.050245538e-07,1.058095891e-07,0.8337614629,-0.007642329446,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,10,nd,1.04961044e-07,1.041857196e-07,0.8265387129,-0.03092166617,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,10,nm,1.049965978e-07,1.042073128e-07,0.8237613974,-0.03046621784,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,10,m,1.042556918e-07,1.058519912e-07,0.8726500306,-0.02747555532,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,10,s,1.054435993e-07,1.058521599e-07,0.8296865212,-0.02060680152,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns_pre,10,ns,1.058831882e-07,1.055174348e-07,0.8146661529,-0.001733280603,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns,11,nclk,1.134641211e-07,1.126820286e-07,0.8138810207,-0.01406458511,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns,11,bclk,1.127149299e-07,1.134995476e-07,0.8340546388,-0.007649159654,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns,11,nd,1.126525218e-07,1.11876091e-07,0.8264290857,-0.03242124961,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns,11,nm,1.126884497e-07,1.118976429e-07,0.8239583575,-0.03087743734,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns,11,m,1.119460405e-07,1.135420563e-07,0.8710270728,-0.0273477408,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns,11,s,1.129191935e-07,1.135421693e-07,0.8295090232,-0.01953953298,1,
E05,pred8_arm_0p48999999999999994ns_pad_0p0ns,11,ns,1.135731821e-07,1.129846362e-07,0.8157233788,-0.001506430528,1,
E06,pred7_arm_1p0ns_pad_0p0ns_pre,12,nclk,1.262318138e-07,1.254484782e-07,0.8138506281,-0.01406844487,1,
E06,pred7_arm_1p0ns_pad_0p0ns_pre,12,bclk,1.254832563e-07,1.262645089e-07,0.83213793,-0.03086833614,1,
E06,pred7_arm_1p0ns_pad_0p0ns_pre,12,nd,1.254863053e-07,1.24715989e-07,0.8265499598,-0.05360275306,1,
E06,pred7_arm_1p0ns_pad_0p0ns_pre,12,nm,1.262915865e-07,1.247375462e-07,0.8236840316,-0.02546030861,1,
E06,pred7_arm_1p0ns_pad_0p0ns_pre,12,m,1.247859441e-07,1.263317721e-07,0.816758892,-0.0277067686,1,
E06,pred7_arm_1p0ns_pad_0p0ns_pre,12,s,1.255090182e-07,1.26383646e-07,0.8276622812,-0.02638433574,1,
E06,pred7_arm_1p0ns_pad_0p0ns_pre,12,ns,1.264154628e-07,1.255534255e-07,0.833302522,-0.001704308201,1,
E06,pred7_arm_1p0ns_pad_0p0ns,13,nclk,1.345136206e-07,1.337331909e-07,0.8138565089,-0.01172706089,1,
E06,pred7_arm_1p0ns_pad_0p0ns,13,bclk,1.337660603e-07,1.345491843e-07,0.8415587802,-0.007617816811,1,
E06,pred7_arm_1p0ns_pad_0p0ns,13,nd,1.337019684e-07,1.329263722e-07,0.8260544312,-0.03151452405,1,
E06,pred7_arm_1p0ns_pad_0p0ns,13,nm,1.337374572e-07,1.329479405e-07,0.8450530197,-0.03074239885,1,
E06,pred7_arm_1p0ns_pad_0p0ns,13,m,1.329964359e-07,1.338378201e-07,0.8103987776,-0.02724216844,1,
E06,pred7_arm_1p0ns_pad_0p0ns,13,s,1.552412755e-07,1.556622531e-07,0.34247317,-0.02091879577,1,
E06,pred7_arm_1p0ns_pad_0p0ns,13,ns,1.556932404e-07,1.553147798e-07,0.8142624847,0.7551985332,1,
E07,pred9_arm_1p0ns_pad_0p0ns_pre,14,nclk,1.474447398e-07,1.466554069e-07,0.8629622858,-0.01343458707,1,
