scenario,probe_index,protocol_phase,medium_code,fine_code,node,sclk_fall_s,return_rise10_s,return_fall10_s,return_settle_ps,second_rise10_s,second_rise_present,recovery_end_v,recovery_tail_max_v,recovery_tail_min_v,valid,reason
recovery_v4_diagnostic_0p80,11,coarse_repeat,5,0,xor_29,1.0604999999999999e-07,1.068728915e-07,1.07637758e-07,1587.7580000000096,1.13825799e-07,False,-4.641496385e-07,-4.641496385e-07,-5.82498699e-07,1,
recovery_v4_diagnostic_0p80,11,coarse_repeat,5,0,medium_out,1.0604999999999999e-07,1.073311226e-07,1.080615901e-07,2011.5901000000083,1.143419282e-07,False,7.141345169e-07,7.141345169e-07,6.307038324e-07,1,
recovery_v4_diagnostic_0p80,11,coarse_repeat,5,0,dff_ck,1.0604999999999999e-07,1.073775926e-07,1.082271076e-07,2177.107600000008,1.143887473e-07,False,-9.317942038e-06,-6.458988582e-06,-9.317942038e-06,1,
recovery_v4_diagnostic_0p80,12,coarse_scan,6,0,xor_29,1.1605999999999998e-07,1.168844925e-07,1.176472313e-07,1587.2313000000154,1.223254268e-07,False,-8.818066674e-07,-8.818066674e-07,-1.04746106e-06,1,
recovery_v4_diagnostic_0p80,12,coarse_scan,6,0,medium_out,1.1605999999999998e-07,1.174090104e-07,1.181457169e-07,2085.7169000000204,1.228420813e-07,False,1.020517203e-06,1.020517203e-06,9.542889758e-07,1,
recovery_v4_diagnostic_0p80,12,coarse_scan,6,0,dff_ck,1.1605999999999998e-07,1.17455734e-07,1.183120296e-07,2252.029600000022,1.228887187e-07,False,2.158857387e-06,2.158857387e-06,7.637388936e-07,1,
recovery_v4_diagnostic_0p80,13,coarse_repeat,6,0,xor_29,1.2455999999999997e-07,1.253844607e-07,1.261472259e-07,1587.2259000000302,1.323358134e-07,False,-8.757215533e-07,-8.757215533e-07,-1.046737939e-06,1,
recovery_v4_diagnostic_0p80,13,coarse_repeat,6,0,medium_out,1.2455999999999997e-07,1.259090522e-07,1.266458205e-07,2085.8205000000203,1.32919008e-07,False,1.02431677e-06,1.02431677e-06,9.565158626e-07,1,
recovery_v4_diagnostic_0p80,13,coarse_repeat,6,0,dff_ck,1.2455999999999997e-07,1.259557761e-07,1.268120206e-07,2252.020600000029,1.329656115e-07,False,2.276806753e-06,2.276806753e-06,7.503575137e-07,1,
recovery_v4_diagnostic_0p80,14,coarse_scan,7,0,xor_29,1.3457e-07,1.353940518e-07,1.361562503e-07,1586.250300000017,1.408355101e-07,False,-4.11472762e-06,-4.11472762e-06,-4.136914472e-06,1,
recovery_v4_diagnostic_0p80,14,coarse_scan,7,0,medium_out,1.3457e-07,1.35985885e-07,1.367273834e-07,2157.383400000004,1.414183705e-07,False,9.260558601e-07,9.260558601e-07,7.7774213e-07,1,
recovery_v4_diagnostic_0p80,14,coarse_scan,7,0,dff_ck,1.3457e-07,1.360326969e-07,1.36895088e-07,2325.0880000000175,1.414652352e-07,False,9.652160213e-07,9.652160213e-07,1.501181194e-07,1,
recovery_v4_diagnostic_0p80,15,coarse_repeat,7,0,xor_29,1.4307e-07,1.438926567e-07,1.446553733e-07,1585.373300000012,1.508457302e-07,False,-4.820012548e-06,-4.57976602e-06,-4.820012548e-06,1,
recovery_v4_diagnostic_0p80,15,coarse_repeat,7,0,medium_out,1.4307e-07,1.444846282e-07,1.452276056e-07,2157.6056000000053,1.514965232e-07,False,1.004815371e-06,1.004815371e-06,8.266016126e-07,1,
recovery_v4_diagnostic_0p80,15,coarse_repeat,7,0,dff_ck,1.4307e-07,1.44531107e-07,1.453946537e-07,2324.653699999993,1.515431589e-07,False,1.355436882e-06,1.355436882e-06,7.661390682e-08,1,
recovery_v4_diagnostic_0p80,16,coarse_scan,8,0,xor_29,1.5308000000000002e-07,1.539039908e-07,1.546653497e-07,1585.3496999999848,1.593454752e-07,False,-1.183367236e-06,-1.183367236e-06,-1.193865745e-06,1,
recovery_v4_diagnostic_0p80,16,coarse_scan,8,0,medium_out,1.5308000000000002e-07,1.545626564e-07,1.553107248e-07,2230.7247999999804,1.599950896e-07,False,7.492394955e-07,7.492394955e-07,6.449167373e-07,1,
recovery_v4_diagnostic_0p80,16,coarse_scan,8,0,dff_ck,1.5308000000000002e-07,1.546094932e-07,1.554767284e-07,2396.728399999991,1.600418964e-07,False,-9.1642942e-06,-5.782669183e-06,-9.1642942e-06,1,
recovery_v4_diagnostic_0p80,17,coarse_repeat,8,0,xor_29,1.6158000000000002e-07,1.624038637e-07,1.631662164e-07,1586.2163999999682,1.693556477e-07,False,-3.156776391e-06,-2.301028286e-06,-3.156776391e-06,1,
recovery_v4_diagnostic_0p80,17,coarse_repeat,8,0,medium_out,1.6158000000000002e-07,1.630620752e-07,1.638113646e-07,2231.3645999999826,1.700733613e-07,False,9.488149236e-07,9.488149236e-07,8.171664459e-07,1,
recovery_v4_diagnostic_0p80,17,coarse_repeat,8,0,dff_ck,1.6158000000000002e-07,1.631091463e-07,1.6397844e-07,2398.439999999974,1.70119954e-07,False,4.129283786e-06,4.129283786e-06,-8.239454408e-07,1,
recovery_v4_diagnostic_0p80,18,coarse_scan,9,0,xor_29,1.7159000000000004e-07,1.724138104e-07,1.731762764e-07,1586.2763999999477,1.77855488e-07,False,-5.97733988e-07,-4.978995049e-07,-5.97733988e-07,1,
recovery_v4_diagnostic_0p80,18,coarse_scan,9,0,medium_out,1.7159000000000004e-07,1.731394735e-07,1.73894801e-07,2304.8009999999595,1.785723989e-07,False,8.045049423e-07,8.320533766e-07,8.045049423e-07,1,
recovery_v4_diagnostic_0p80,18,coarse_scan,9,0,dff_ck,1.7159000000000004e-07,1.731862121e-07,1.740607136e-07,2470.7135999999578,1.786188581e-07,False,1.404743128e-06,1.404743128e-06,9.046067748e-07,1,
recovery_v4_diagnostic_0p80,19,coarse_repeat,9,0,xor_29,1.8009000000000005e-07,1.809137487e-07,1.816758539e-07,1585.8538999999503,1.878658629e-07,False,-2.508158188e-06,-2.250771877e-06,-2.508158188e-06,1,
recovery_v4_diagnostic_0p80,19,coarse_repeat,9,0,medium_out,1.8009000000000005e-07,1.816398431e-07,1.823944183e-07,2304.4182999999584,1.886506352e-07,False,2.836030474e-07,3.077210545e-07,2.836030474e-07,1,
recovery_v4_diagnostic_0p80,19,coarse_repeat,9,0,dff_ck,1.8009000000000005e-07,1.816865734e-07,1.825614622e-07,2471.4621999999417,1.886971281e-07,False,1.559191308e-06,1.559191308e-06,5.556080741e-07,1,
recovery_v4_diagnostic_0p80,20,coarse_scan,10,0,xor_29,1.9010000000000007e-07,1.909234113e-07,1.916861596e-07,1586.1595999999367,1.963654843e-07,False,-7.965178003e-07,-7.965178003e-07,-8.70119957e-07,1,
recovery_v4_diagnostic_0p80,20,coarse_scan,10,0,medium_out,1.9010000000000007e-07,1.917160387e-07,1.924786845e-07,2378.6844999999385,1.971496942e-07,False,8.184802224e-07,8.488549358e-07,8.184802224e-07,1,
recovery_v4_diagnostic_0p80,20,coarse_scan,10,0,dff_ck,1.9010000000000007e-07,1.91762873e-07,1.926442345e-07,2544.2344999999236,1.97196222e-07,False,-2.788375448e-06,-8.299994557e-07,-2.788375448e-06,1,
recovery_v4_diagnostic_0p80,21,coarse_repeat,10,0,xor_29,1.9860000000000007e-07,1.994237768e-07,2.001862374e-07,1586.2373999999384,2.063753669e-07,False,-2.477104609e-06,-2.477104609e-06,-2.998851905e-06,1,
recovery_v4_diagnostic_0p80,21,coarse_repeat,10,0,medium_out,1.9860000000000007e-07,2.002166491e-07,2.009790353e-07,2379.0352999999245,2.070929614e-07,False,5.25781088e-07,5.877843399e-07,5.25781088e-07,1,
