episode_id,kind,condition,predecessor_M,M,F,reset_release_s,reset_arm_s,timeline_pad_s,launch_time_s,q_read_time_s,measured_reset_release50_s,measured_sclk_launch50_s,measured_reset_arm_s,q_read_v,q_read_late_v,Q_logic,Q_late_logic,xor_rise50_s,medium_rise50_s,ck_rise50_s,D_medium_ps,D_fine_ps,D_total_ps,W_xor_ps,hold_margin_ps,active_window_start_s,active_window_end_s,extra_ck_edge,valid,reason
E06,predecessor,pred7_arm_1p0ns_pad_0p0ns_pre,7,7,0,1.2337999999999993e-07,4.9e-10,0.0,1.2386999999999993e-07,1.2616999999999992e-07,1.2338e-07,1.2387e-07,4.899999999999998e-10,0.8000031239,0.8005944579,1,1,1.246723497e-07,1.252274429e-07,1.25355375e-07,555.0932000000039,127.93209999999942,683.0253000000033,784.1082999999954,101.08299999999213,1.2386999999999993e-07,1.263699999999999e-07,False,1,
E06,target,pred7_arm_1p0ns_pad_0p0ns,7,8,0,1.3107999999999993e-07,1e-09,0.0,1.3207999999999992e-07,1.343799999999999e-07,1.3108e-07,1.3208e-07,9.999999999999957e-10,0.0001910528154,0.0004096939756,0,0,1.328826897e-07,1.335059556e-07,1.336338147e-07,623.2659000000086,127.85909999999932,751.125000000008,784.411000000024,33.28600000001609,1.3207999999999992e-07,1.345799999999999e-07,False,1,
E07,predecessor,pred9_arm_1p0ns_pad_0p0ns_pre,9,9,0,1.444500000000001e-07,4.9e-10,0.0,1.449400000000001e-07,1.472400000000001e-07,1.4445e-07,1.4494e-07,4.899999999999998e-10,1.652418313e-07,0.0003491615459,0,0,1.457419396e-07,1.464312443e-07,1.465589141e-07,689.3046999999966,127.66980000001672,816.9745000000133,785.3450999999926,-31.629400000020723,1.449400000000001e-07,1.4744000000000008e-07,False,1,
E07,target,pred9_arm_1p0ns_pad_0p0ns,9,8,0,1.521500000000001e-07,1e-09,0.0,1.531500000000001e-07,1.5545000000000009e-07,1.5215e-07,1.5315e-07,9.999999999999957e-10,0.7999987595,0.8004253959,1,1,1.539524306e-07,1.545751179e-07,1.547029809e-07,622.6873000000062,127.86299999999228,750.5502999999985,784.1001999999978,33.5498999999993,1.531500000000001e-07,1.5565000000000007e-07,False,1,
E08,predecessor,pred8_arm_1p0ns_pad_0p0ns_pre,8,8,0,1.6551000000000027e-07,4.9e-10,0.0,1.6600000000000027e-07,1.6830000000000026e-07,1.6551e-07,1.66e-07,4.899999999999998e-10,0.7999998785,0.8004721502,1,1,1.668020197e-07,1.674246473e-07,1.675524233e-07,622.627600000012,127.77599999999433,750.4036000000063,784.6366000000166,34.23300000001029,1.6600000000000027e-07,1.6850000000000024e-07,False,1,
E08,target,pred8_arm_1p0ns_pad_0p0ns,8,8,0,1.7320000000000025e-07,1e-09,0.0,1.7420000000000025e-07,1.7650000000000024e-07,1.732e-07,1.742e-07,1.0000000000000222e-09,0.7999912458,0.8004660777,1,1,1.750025233e-07,1.756257627e-07,1.757536212e-07,623.239399999992,127.85850000000242,751.0978999999944,784.7850000000043,33.68710000000988,1.7420000000000025e-07,1.7670000000000023e-07,False,1,
E09,predecessor,pred7_arm_0p0ns_pad_0p51ns_pre,7,7,0,1.865500000000004e-07,4.9e-10,0.0,1.870400000000004e-07,1.893400000000004e-07,1.8655e-07,1.8704e-07,4.899999999999998e-10,0.8000024105,0.8003131825,1,1,1.878420324e-07,1.883979081e-07,1.885257674e-07,555.8756999999837,127.85930000001592,683.7349999999996,785.1254999999954,101.39049999999588,1.870400000000004e-07,1.8954000000000039e-07,False,1,
E09,target,pred7_arm_0p0ns_pad_0p51ns,7,8,0,1.947600000000004e-07,0.0,5.1e-10,1.947600000000004e-07,1.970600000000004e-07,1.9476e-07,1.9476e-07,0.0,0.7999999463,0.8006019413,1,1,1.955623765e-07,1.961850639e-07,1.963128539e-07,622.6874000000013,127.78999999999218,750.4773999999935,785.4441000000077,34.96670000001416,1.947600000000004e-07,1.9726000000000038e-07,False,1,
E10,predecessor,pred9_arm_0p0ns_pad_0p51ns_pre,9,9,0,2.0713000000000058e-07,4.9e-10,0.0,2.0762000000000058e-07,2.0992000000000057e-07,2.0713e-07,2.0762e-07,4.899999999999998e-10,1.652064015e-07,0.0003972683575,0,0,2.08421918e-07,2.091120511e-07,2.092399803e-07,690.1330999999893,127.92920000001007,818.0622999999995,785.4743999999957,-32.58790000000374,2.0762000000000058e-07,2.1012000000000056e-07,False,1,
E10,target,pred9_arm_0p0ns_pad_0p51ns,9,8,0,2.1534000000000058e-07,0.0,5.1e-10,2.1534000000000058e-07,2.1764000000000056e-07,2.1534e-07,2.1534e-07,0.0,-7.107662214e-05,0.001210281783,0,0,2.161425893e-07,2.167656118e-07,2.168932084e-07,623.022499999994,127.59660000000001,750.619099999994,783.9163999999822,33.29729999998824,2.1534000000000058e-07,2.1784000000000055e-07,False,1,
