seed,mc_random_signature,target_event,q_ff_target,M_FF_target,M_REF_RISE,M_REF_FALL,D_M_D01,H_D_D01,D01_detected,locked_rise_margin,locked_fall_margin,pre_attack_alarm_count,pre_attack_polarities,pre_attack_D_M,pre_attack_margin_selected,pre_attack_alarm_vector,first_alarm_latency_ns,rail_resolved,source_measurements_sha256,source_mc0_sha256,capture_sha256
41011,6252db7cb1622cbeb7291fbe24ce9935ed8e0f48a4e61dd2839e7bd3d74935c8,21 ns RISE,000000000000000000000011111111,204,176,159,28,6,1,22,24,0,RISE;FALL,17;0,22;24,0;0,20.534524618566998,True,3806f97aa0e5922f58ce7a9467622106da63ff864781e003b8340036c9999685,ba3a077d4542a375c4577ca977979ef5a9a58d25e124228efb19fa5250172aee,5007fdb6c75083b03e7cbd42d896bb6dc88edf7f78a2f3e6f04630ba8065b761
41012,caa6eaa24b7d8fb062e268de2061f42e98b43b32af13a1bd01456fbaa611f791,21 ns RISE,000000000000000000000111111111,225,204,182,21,-1,0,22,24,0,RISE;FALL,22;0,22;24,0;0,N/A,True,8e75ddc5617ac6f2fdf62209d82eceed17624793457ecaf9ab69067b2e5c873d,b2769dbdec1351f6233feb9859b1488d3b029a48ca02a55da8dccd3c4f08eeb0,f4256d805c9ee424dd892021b0ba1c6cfab647a5438748c7eba1322095adfab3
41013,9b0c0bba410a345ede4a4335782dc764c8c6190369dbbc90be44895674d4007a,21 ns RISE,000000000000000000011111111111,264,235,204,29,7,1,22,24,0,RISE;FALL,10;0,22;24,0;0,20.534524618566998,True,0f24ca53b2cfcfc82e9ee39ca8858cc6a0340d8ed3abcd4cd787c38aec58a830,eaf829d401b1a1515c09d3916d084e9407c81f5086454e080021dc3f00b5d49c,07a5085c92194a45349acc93c9bf4a14d5f6fc596ac6717a9d3ea4962ea9de90
41014,85c4986afe03b6b3e3a0333927ca56b67ae2d4f43ca257ea9c2829c307c54565,21 ns RISE,000000000000000000000111111111,225,182,159,43,21,1,22,24,0,RISE;FALL,0;0,22;24,0;0,20.534524618566998,True,0ad3902b16fef4db0689b9242b24cc3e32081e2aadf36acd4994bf9d7176f7ba,d630fdef5b7df77b954f9c33186ccf0362faadf239602ffe23e4f64470613879,57d37b4742b701f7063051def1c62060cb7d8f60e118d0726a6a919c864ee888
41015,d07f2cc08012711f31599693b7813c5f7b11252f75851a566fa826afc1f49b09,21 ns RISE,000000000000000000000111111111,225,204,159,21,-1,0,22,24,0,RISE;FALL,0;0,22;24,0;0,N/A,True,6c36987bc0cf53922d12d8c03deee4e39d15fcd42f6f5b6119ced35bd2ce6d63,559045262acc6ed43b1cc74272be7784e12d10e032bafd71bdb892f479a8d212,f91a9a1d0adeca862695e56b060e167f45834a1a62ff366b1f0415c0c13eebea
41016,8da7492d08f89c56aab6bbf8673d3aaeb15003e0163a7592f1fc1c7ab72b18ff,21 ns RISE,000000000000000000000011111111,204,182,159,22,0,0,22,24,0,RISE;FALL,0;0,22;24,0;0,N/A,True,8a360bf1112595d0fec8bf8100d4abf04bce80baa44872ed423affd084dd87ab,fd0aacedab13d7f8c59f7563c1385922586b28f850abebacda12c97014aa066a,cec06bb38dfb92de447bd49c2954b2bad95728b15e25fd69bd59b5411481e181
41017,f2b93d5ff1c3ba28cccfba450f6ea33efdad1cea9d8ad1c6cf167fd71751bd55,21 ns RISE,000000000000000000000111111111,225,198,170,27,5,1,22,24,0,RISE;FALL,16;11,22;24,0;0,20.534524618566998,True,06b4c3eedea2170731ae5f913a7d75d8d13516a26c82d10b21e7c053222dfd98,31016bfef41d1923077ff21ac18ff1c969517f2f16d417b2722be3f09d60ed63,57d37b4742b701f7063051def1c62060cb7d8f60e118d0726a6a919c864ee888
41018,f4f901fc83162b4a630f2e5760f01562402a733ac6ae5c0575d3c83d3a6dbb76,21 ns RISE,000000000000000000001111111111,245,219,193,26,4,1,22,24,0,RISE;FALL,15;11,22;24,0;0,20.534524618566998,True,f2a4eb2d627e8dc8a29ea9998e71b0288faf01c8b72d198714c09be58cc5f34f,a85b3a6b364faaad9d6e0fdd330dcd6fcebc3b7f2ec728367b9f33172cfa81f1,b2bccb65125720c5d67484755f5db81bf4c9f09f8346e52f61edcf1007ed10c1
41019,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,21 ns RISE,000000000000000000000111111111,225,187,159,38,16,1,22,24,0,RISE;FALL,5;0,22;24,0;0,20.534524618566998,True,10fd142ed8ce1d600bf19ab362b259aa6601d29b389493821f03eb6fe15656c7,c90b97cbce0fcff6923319c41258612d040a571474cd4d08abddccb344d196d6,dad85bb0eba8752dea0f0bb51eb8bc202b7ec3823539f4f9933251e42a0ac213
41020,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,21 ns RISE,000000000000000000000001111111,182,159,135,23,1,1,22,24,0,RISE;FALL,0;0,22;24,0;0,20.534524618566998,True,33e8d64b8cb856b9790fa1d9d66612b145e87931d7b3b8f710da0550730fae3f,175173899d34c279919caf869a605d4d2f1c18fd6fcc53f7272b01d3e75243b5,c5f127e79495c8c9eb9c87379554eb09f0840fffd8da851cd34026a99329665c
41021,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,21 ns RISE,000000000000000000000111111111,225,182,141,43,21,1,22,24,0,RISE;FALL,0;6,22;24,0;0,20.534524618566998,True,b5bdf359b755fa4eadcd3ac5072e2d2f25db72a1545f761a2ebb5b3a2725e0d8,b85cbcfa3b81278276d88c773491d0be2491453fb5183990999f419dc809535b,0c375e0e2ceca75595f88b81c76b49b384e09653eac8ac0defbbb2028dc0ad25
41022,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,21 ns RISE,000000000000000000000111111111,225,204,159,21,-1,0,22,24,0,RISE;FALL,22;0,22;24,0;0,N/A,True,a64f5cf5a2ca663e598824cce6ac94c0cf8cfa0dfa855ffe51be4a1f8da07d79,b0037445b26ea8f92c5bf718d49f75d9cb439926bb9bb68e4039ef5159961624,5e0a51e0484973adb73a97256351a2ef84ce7a7c942dbd8abd9e84759dc8b1ad
41023,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,21 ns RISE,000000000000000000001111111111,245,209,182,36,14,1,22,24,0,RISE;FALL,5;0,22;24,0;0,20.534524618566998,True,4b7ab66266f639b6e5b70f21d7d012860957ae433b346718b4bce5076c5322a0,c97d7523d449532f98c8dd93a523290ec8420bb5c57dc586a665f51da36b95a6,b2bccb65125720c5d67484755f5db81bf4c9f09f8346e52f61edcf1007ed10c1
