vdd_v,tap,t_xor_rise_s,t_xor_fall_s,W_S_int_ps,t_tap_rise_s,D_raw_ps,D_mux_est_ps,D_est_ps,valid
1.1,30,1.407400406e-09,1.647222099e-09,239.821693,1.755219566e-09,347.8191600000001,59.90238499999995,407.7215450000001,1
1.1,31,1.407400406e-09,1.647222099e-09,239.821693,1.766082489e-09,358.68208300000003,59.90238499999995,418.584468,1
1.1,32,1.407400406e-09,1.647222099e-09,239.821693,1.776891571e-09,369.4911650000001,59.90238499999995,429.39355,1
1.1,33,1.407400406e-09,1.647222099e-09,239.821693,1.787650239e-09,380.24983300000014,59.90238499999995,440.15221800000006,1
1.1,34,1.407400406e-09,1.647222099e-09,239.821693,1.79851355e-09,391.11314400000003,59.90238499999995,451.015529,1
1.1,35,1.407400406e-09,1.647222099e-09,239.821693,1.809269851e-09,401.8694450000001,59.90238499999995,461.77183,1
1.1,36,1.407400406e-09,1.647222099e-09,239.821693,1.820013709e-09,412.61330300000014,59.90238499999995,472.51568800000007,1
1.1,37,1.407400406e-09,1.647222099e-09,239.821693,1.830896391e-09,423.495985,59.90238499999995,483.39837,1
1.1,38,1.407400406e-09,1.647222099e-09,239.821693,1.840319107e-09,432.9187010000001,59.90238499999995,492.82108600000004,1
0.95,14,1.533101843e-09,1.914767466e-09,381.6656229999999,1.747992221e-09,214.89037800000003,80.23244299999999,295.12282100000004,1
0.95,15,1.533101843e-09,1.914767466e-09,381.6656229999999,1.763290034e-09,230.18819099999996,80.23244299999999,310.42063399999995,1
0.95,16,1.533101843e-09,1.914767466e-09,381.6656229999999,1.779179404e-09,246.0775610000001,80.23244299999999,326.31000400000005,1
0.95,17,1.533101843e-09,1.914767466e-09,381.6656229999999,1.794666237e-09,261.56439399999994,80.23244299999999,341.7968369999999,1
0.95,18,1.533101843e-09,1.914767466e-09,381.6656229999999,1.810354354e-09,277.252511,80.23244299999999,357.484954,1
0.95,19,1.533101843e-09,1.914767466e-09,381.6656229999999,1.825730407e-09,292.62856400000004,80.23244299999999,372.86100700000003,1
0.95,20,1.533101843e-09,1.914767466e-09,381.6656229999999,1.841440866e-09,308.339023,80.23244299999999,388.571466,1
0.95,21,1.533101843e-09,1.914767466e-09,381.6656229999999,1.856813873e-09,323.7120300000001,80.23244299999999,403.9444730000001,1
0.95,22,1.533101843e-09,1.914767466e-09,381.6656229999999,1.872663199e-09,339.5613560000001,80.23244299999999,419.7937990000001,1
0.95,23,1.533101843e-09,1.914767466e-09,381.6656229999999,1.887921433e-09,354.81958999999983,80.23244299999999,435.0520329999998,1
0.95,24,1.533101843e-09,1.914767466e-09,381.6656229999999,1.903645949e-09,370.544106,80.23244299999999,450.776549,1
0.95,25,1.533101843e-09,1.914767466e-09,381.6656229999999,1.919218847e-09,386.11700399999995,80.23244299999999,466.34944699999994,1
0.95,26,1.533101843e-09,1.914767466e-09,381.6656229999999,1.933258303e-09,400.1564599999999,80.23244299999999,480.3889029999999,1
0.95,27,1.533101843e-09,1.914767466e-09,381.6656229999999,1.947310544e-09,414.20870100000013,80.23244299999999,494.4411440000001,1
0.95,28,1.533101843e-09,1.914767466e-09,381.6656229999999,1.961360408e-09,428.25856500000003,80.23244299999999,508.491008,1
0.95,29,1.533101843e-09,1.914767466e-09,381.6656229999999,1.975504557e-09,442.4027140000001,80.23244299999999,522.6351570000002,1
0.95,30,1.533101843e-09,1.914767466e-09,381.6656229999999,1.989586322e-09,456.484479,80.23244299999999,536.7169220000001,1
0.95,31,1.533101843e-09,1.914767466e-09,381.6656229999999,2.00358693e-09,470.4850869999999,80.23244299999999,550.7175299999999,1
0.95,32,1.533101843e-09,1.914767466e-09,381.6656229999999,2.017690033e-09,484.5881899999999,80.23244299999999,564.8206329999998,1
0.95,33,1.533101843e-09,1.914767466e-09,381.6656229999999,2.031825329e-09,498.723486,80.23244299999999,578.955929,1
0.95,34,1.533101843e-09,1.914767466e-09,381.6656229999999,2.045871968e-09,512.7701250000001,80.23244299999999,593.0025680000001,1
0.95,35,1.533101843e-09,1.914767466e-09,381.6656229999999,2.05993715e-09,526.8353070000002,80.23244299999999,607.0677500000002,1
0.95,36,1.533101843e-09,1.914767466e-09,381.6656229999999,2.074080418e-09,540.9785749999999,80.23244299999999,621.2110179999999,1
0.95,37,1.533101843e-09,1.914767466e-09,381.6656229999999,2.088235552e-09,555.133709,80.23244299999999,635.3661519999999,1
0.95,38,1.533101843e-09,1.914767466e-09,381.6656229999999,2.100554626e-09,567.4527830000002,80.23244299999999,647.6852260000002,1
0.8,14,1.802717658e-09,2.587397204e-09,784.6795460000001,2.131177456e-09,328.45979800000015,124.30898600000006,452.7687840000002,1
0.8,15,1.802717658e-09,2.587397204e-09,784.6795460000001,2.154438861e-09,351.7212029999999,124.30898600000006,476.03018899999995,1
0.8,16,1.802717658e-09,2.587397204e-09,784.6795460000001,2.17767943e-09,374.96177200000005,124.30898600000006,499.2707580000001,1
0.8,17,1.802717658e-09,2.587397204e-09,784.6795460000001,2.201291053e-09,398.57339499999995,124.30898600000006,522.882381,1
0.8,18,1.802717658e-09,2.587397204e-09,784.6795460000001,2.224594248e-09,421.8765899999999,124.30898600000006,546.185576,1
0.8,19,1.802717658e-09,2.587397204e-09,784.6795460000001,2.247842903e-09,445.1252450000001,124.30898600000006,569.4342310000002,1
0.8,20,1.802717658e-09,2.587397204e-09,784.6795460000001,2.271270004e-09,468.55234599999994,124.30898600000006,592.861332,1
0.8,21,1.802717658e-09,2.587397204e-09,784.6795460000001,2.294573571e-09,491.855913,124.30898600000006,616.1648990000001,1
0.8,22,1.802717658e-09,2.587397204e-09,784.6795460000001,2.317860922e-09,515.1432639999999,124.30898600000006,639.45225,1
0.8,23,1.802717658e-09,2.587397204e-09,784.6795460000001,2.341112501e-09,538.3948430000002,124.30898600000006,662.7038290000003,1
0.8,24,1.802717658e-09,2.587397204e-09,784.6795460000001,2.364597271e-09,561.8796130000001,124.30898600000006,686.1885990000001,1
