scenario_id,baseline_vdd_v,margin_level,M_det,F_det,DeltaV_mv,Vdroop_v,t_fall_ps,t_hold_ps,t_rise_ps,phase_ps,actual_min_vdd_v,t_xor_rise_s,t_xor_fall_s,t_ck_rise_s,t_ck_rise_2_s,W_xor_ps,D_ref_ps,R_ps,q_sample_1_v,q_sample_2_v,vdd_at_q_sample_1_v,vdd_at_q_sample_2_v,q_sample_1_ratio,q_sample_2_ratio,q_final,q_state,active_ck_edge_count,recovery_max_ratio,valid,reason,completion_status,scenario_path,deck_sha256,source_hash,sweep_kind
t0__b0p95__L2__dv90p0__h3000p0__p1500p0__a94101f78dcbc5c82228,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,1500.0,0.86,2.022448913e-09,2.40343136e-09,2.425115752e-09,5.701173906e-09,380.982447,402.66683900000004,-21.68439200000006,-2.296358268e-06,-2.471603907e-06,0.86,0.86,-2.6701840325581396e-06,-2.873958031395349e-06,0,stable_low,1,3.3078672639534885e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r98/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p1500p0__a94101f78dcbc5c82228,29c321d069c823f210315ee0b39e7f284a8dec4c7462307bb94de91f3a4cd7d6,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p2000p0__5e593119b194dc9466bd,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,2000.0,0.86,2.022448913e-09,2.40343136e-09,2.425115752e-09,5.7020993e-09,380.982447,402.66683900000004,-21.68439200000006,-1.738014371e-06,-2.227771128e-06,0.86,0.86,-2.020946943023256e-06,-2.5904315441860464e-06,0,stable_low,1,2.093746093023256e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r99/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p2000p0__5e593119b194dc9466bd,444669ab852f92e9ec14789d2a026a9ce909ddb3f46ef05c5db0b26da7e8725f,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p2500p0__3f74a125c622d33082e1,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,2500.0,0.86,2.022448913e-09,2.40343136e-09,2.425115752e-09,5.700598164e-09,380.982447,402.66683900000004,-21.68439200000006,6.677094169e-08,-1.146168329e-06,0.95,0.95,7.028520177894737e-08,-1.2064929778947368e-06,0,stable_low,1,0.05162607645348837,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r100/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p2500p0__3f74a125c622d33082e1,5cece730e615b82ac713bcc0b3a8f63c488eb2938a917f283ec48e6ed27e7e73,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__pm1000p0__2fe5bf157f9cdab7420a,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,-1000.0,0.96,2.011110625e-09,2.378850279e-09,2.335841876e-09,5.180882506e-09,367.7396540000003,324.7312510000001,43.008403000000214,1.0999824098,1.1000087468,1.1,1.1,0.9999840089090908,1.0000079516363636,1,stable_high,1,2.6773351375000002e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r101/scenarios/t0__b1p1__L2__dv140p0__h3000p0__pm1000p0__2fe5bf157f9cdab7420a,51b7234290d87fe002ecd9be0a9a943043d8c8364622fd1caab1bbc272c3a317,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__pm750p0__e4d8a0611a106ab7d7a6,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,-750.0,0.96,2.011549162e-09,2.378730997e-09,2.336491821e-09,5.180899942e-09,367.181835,324.94265900000005,42.23917599999993,1.0999809754,1.1000143191,1.1,1.1,0.9999827049090909,1.0000130173636363,1,stable_high,1,2.2203649520833335e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r102/scenarios/t0__b1p1__L2__dv140p0__h3000p0__pm750p0__e4d8a0611a106ab7d7a6,25be37c1c10432f0d9e52d4dffb055d3987cf82fdf556efd1e62b6278dff90b7,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__pm500p0__4c0063ee674ca863a637,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,-500.0,0.96,2.011327428e-09,2.378783857e-09,2.336248153e-09,5.181176592e-09,367.4564290000002,324.92072499999995,42.53570400000024,0.9599995002,0.9600000084,0.96,0.96,0.9999994793750001,1.00000000875,1,stable_high,1,1.8071492250000002e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r103/scenarios/t0__b1p1__L2__dv140p0__h3000p0__pm500p0__4c0063ee674ca863a637,fc7fa01f6a308bdb401a54c801e0546149b3ff57576985cf04482c72cb2c853a,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__pm250p0__ccaacf3a722354187147,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,-250.0,0.96,2.011239981e-09,2.379004064e-09,2.335980753e-09,5.181072449e-09,367.76408299999997,324.74077200000005,43.02331099999992,0.9599996233,0.9599997579,0.96,0.96,0.9999996076041667,0.9999997478125001,1,stable_high,1,1.639535553125e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r104/scenarios/t0__b1p1__L2__dv140p0__h3000p0__pm250p0__ccaacf3a722354187147,13fedf8b2039fcac76817d798dd24a172bb78b9b74256d9a51c165b217618229,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p0p0__5c391a5be9ac16defe29,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,0.0,0.96,2.011960328e-09,2.378682589e-09,2.336895689e-09,5.180165223e-09,366.72226100000006,324.93536100000006,41.7869,0.9599996082,0.9599996956,0.96,0.96,0.999999591875,0.9999996829166666,1,stable_high,1,1.2983346177083334e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r105/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p0p0__5c391a5be9ac16defe29,dd2f41921a952c0d9f8b694a8499ba50426744ac3f5131ebd2b7861ef0fcd813,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p250p0__a64b4fc9366e483edb0f,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,250.0,0.96,1.943140037e-09,2.286028115e-09,2.268032912e-09,5.236593477e-09,342.88807800000006,324.8928749999998,17.995203000000288,1.607642059e-08,-1.397436631e-07,0.96,0.96,1.6746271447916667e-08,-1.4556631572916667e-07,0,stable_low,1,2.1148460427083334e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r106/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p250p0__a64b4fc9366e483edb0f,3406aaf4dac86abce89b1554bfa266133278779d4ed31a038ef24a06246afdaa,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p500p0__6345dc6b3dc87ba7811b,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,500.0,0.96,1.89673728e-09,2.191478842e-09,2.194677334e-09,5.292879362e-09,294.741562,297.9400540000001,-3.198492000000101,5.116045355e-07,2.354199728e-07,0.96,0.96,5.329213911458333e-07,2.4522913833333333e-07,0,stable_low,1,1.5993629166666666e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r107/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p500p0__6345dc6b3dc87ba7811b,be40e18a83cbd54d70b3f314d2699f4fe6d754e4a812a27e3037af73c1ab105e,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p750p0__16b211852520823f6bce,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,750.0,0.96,1.89673728e-09,2.135943675e-09,2.157900431e-09,5.340860859e-09,239.20639499999982,261.16315099999986,-21.95675600000004,1.866329915e-07,1.425806696e-07,0.96,0.96,1.9440936614583333e-07,1.4852153083333335e-07,0,stable_low,1,3.0045107364583335e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r108/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p750p0__16b211852520823f6bce,36d0b8b63df4c500306769e1c477c0b00a1e29e2df306b6d10279032e416f2e1,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p1000p0__a9deac0befde1911cbcf,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,1000.0,0.96,1.89673728e-09,2.135943675e-09,2.157900431e-09,5.370811882e-09,239.20639499999982,261.16315099999986,-21.95675600000004,9.799949194e-07,-3.66664307e-06,0.96,0.96,1.0208280410416666e-06,-3.819419864583333e-06,0,stable_low,1,1.2311040125e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r109/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p1000p0__a9deac0befde1911cbcf,c2ddd83391c262b3e95c5b49ddc2b499e2306c7fb0db3e97359cc7c6088f6373,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p1250p0__b6e6689baa30d158b0fb,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,1250.0,0.96,1.89673728e-09,2.135943675e-09,2.157900431e-09,5.370380676e-09,239.20639499999982,261.16315099999986,-21.95675600000004,3.708602983e-06,9.72604871e-07,0.96,0.96,3.863128107291666e-06,1.0131300739583333e-06,0,stable_low,1,5.940397086458334e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r110/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p1250p0__b6e6689baa30d158b0fb,8ca5f71a86a2a26a4c29e731a382f2aa9241520b37d4fb3bb26b6ea52bf3abfd,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p1500p0__d3e6a4397c36384fce71,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,1500.0,0.96,1.89673728e-09,2.135943675e-09,2.157900431e-09,5.371401642e-09,239.20639499999982,261.16315099999986,-21.95675600000004,-2.131253613e-06,2.540611058e-06,0.96,0.96,-2.220055846875e-06,2.6464698520833335e-06,0,stable_low,1,2.31044016875e-05,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r111/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p1500p0__d3e6a4397c36384fce71,49e948fe1f40eb9d87b8bb000d7b61f1ac4cb8eb940d63cf3d72183a39579821,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p2000p0__ad66eddc2fdbb01605d1,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,2000.0,0.96,1.89673728e-09,2.135943675e-09,2.157900431e-09,5.371978573e-09,239.20639499999982,261.16315099999986,-21.95675600000004,-4.089091997e-06,2.577570432e-06,0.96,0.96,-4.259470830208334e-06,2.6849692e-06,0,stable_low,1,1.115009228125e-05,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r112/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p2000p0__ad66eddc2fdbb01605d1,1c31671b02a235b52627768b0338fddf84960bffdd614be0cd7f4b4dad207486,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b1p1__L2__dv140p0__h3000p0__p2500p0__79c4ceb6007943220832,1.1,L2,3,8,140.0,0.96,1.0,3000.0,1.0,2500.0,0.96,1.89673728e-09,2.135943675e-09,2.157900431e-09,5.371283773e-09,239.20639499999982,261.16315099999986,-21.95675600000004,7.211196672e-08,1.540324351e-07,1.1,1.1,6.555633338181818e-08,1.4002948645454544e-07,0,stable_low,1,0.07890802921875001,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r113/scenarios/t0__b1p1__L2__dv140p0__h3000p0__p2500p0__79c4ceb6007943220832,4e9daf928784d468f73b00aa4292769d6ee64220abd8a990fc25cc8a3ec8e7e5,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,coarse
t0__b0p95__L2__dv90p0__h3000p0__p25p0__a4c518fe8066b476707f,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,25.0,0.86,2.149082898e-09,2.711708813e-09,2.644767581e-09,5.465132785e-09,562.6259149999998,495.6846829999999,66.94123199999996,0.8599997079,0.8599996515,0.86,0.86,0.9999996603488372,0.9999995947674419,1,stable_high,1,2.9468826372093024e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r114/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p25p0__a4c518fe8066b476707f,05d7107766bc20b3b9945d46c4f2a4250f315362707ac6130016befb3169850e,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b0p95__L2__dv90p0__h3000p0__p50p0__f3c47dd6c3902836e7bd,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,50.0,0.86,2.143306363e-09,2.703073893e-09,2.63876005e-09,5.470373177e-09,559.76753,495.45368700000006,64.3138429999999,0.8599996819,0.8599996352,0.86,0.86,0.999999630116279,0.9999995758139535,1,stable_high,1,2.769933130232558e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r115/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p50p0__f3c47dd6c3902836e7bd,ac149f6b6caa04e44f634a60be6c3ef11c8e8fa7358ca551c3fe20fac200695d,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b0p95__L2__dv90p0__h3000p0__p75p0__7a3bf623225297362e27,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,75.0,0.86,2.137359084e-09,2.694271411e-09,2.632410795e-09,5.475590541e-09,556.9123270000001,495.05171099999995,61.860616000000164,0.8599997205,0.8599996524,0.86,0.86,0.999999675,0.9999995958139535,1,stable_high,1,3.4061092918604654e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r116/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p75p0__7a3bf623225297362e27,5767abcd1fa46727e2ca73605862f1f2aa35268e08127c73afeb12e85c204241,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b0p95__L2__dv90p0__h3000p0__p100p0__44aab1c8f6595c130c80,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,100.0,0.86,2.131390903e-09,2.68532819e-09,2.626737292e-09,5.480532143e-09,553.937287,495.34638900000004,58.590897999999925,1.023555596e-07,1.250531221e-07,0.86,0.86,1.1901809255813954e-07,1.4541060709302326e-07,0,stable_low,1,3.7759995104651164e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r117/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p100p0__44aab1c8f6595c130c80,3822a3ab91da111cee30d19f97ee74caffab3c411011630b24946b6dfe67b9e8,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b0p95__L2__dv90p0__h3000p0__p125p0__8cf359bce0abf9a78a17,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,125.0,0.86,2.125173912e-09,2.677467691e-09,2.620969468e-09,5.486207831e-09,552.2937789999997,495.79555599999975,56.498222999999996,1.110151865e-07,1.446254877e-07,0.86,0.86,1.2908742616279069e-07,1.6816917174418603e-07,0,stable_low,1,3.3608503686046513e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r118/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p125p0__8cf359bce0abf9a78a17,5072d583e6c963ac72131979b5671ba795998f122c5106b708cf6c9dd9a277fa,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
t0__b0p95__L2__dv90p0__h3000p0__p150p0__469604873a0047286cf7,0.95,L2,5,6,90.0,0.86,1.0,3000.0,1.0,150.0,0.86,2.119362111e-09,2.669062741e-09,2.614702496e-09,5.490263245e-09,549.7006299999999,495.340385,54.36024499999991,-8.445614304e-09,1.402884148e-07,0.86,0.86,-9.82048174883721e-09,1.6312606372093022e-07,0,stable_low,1,3.356372239534884e-06,1,,PASS,/home/zhupl25/chiplet_side_channel/chiplet_gds_data/power_macro/delay_chain/ftc/runs/t0_transient_droop/r119/scenarios/t0__b0p95__L2__dv90p0__h3000p0__p150p0__469604873a0047286cf7,d8d7b5ad1a616eb8e4d92ddbadf6b3c464cbd6bbc7e53f090c14b1e011494f2a,673bd1ffdc6c7498b4b2deed2d3da3d06c62b318fecf5debea08c01b9fecfa22,fine
