dataset_code,seed,polarity,m_ff,m_ref,margin,arch0,sign0_off,sign0_18,sign0_19,abs_term_18,signed_term_18,signed_term_19
4,41005,0,264,204,22,1,1,1,1,1,1,1
5,41005,0,245,204,22,1,1,1,1,1,1,1
0,41006,0,182,182,0,0,0,0,0,0,0,0
0,41006,0,182,182,0,0,0,0,0,0,0,0
0,41006,0,182,182,0,0,0,0,0,0,0,0
0,41006,0,182,182,0,0,0,0,0,0,0,0
0,41006,1,182,182,0,0,0,0,0,0,0,0
0,41006,1,182,182,0,0,0,0,0,0,0,0
0,41006,1,182,182,0,0,0,0,0,0,0,0
0,41006,1,182,182,0,0,0,0,0,0,0,0
1,41006,0,182,182,22,0,0,0,0,0,0,0
1,41006,1,182,182,24,0,0,0,0,0,0,0
1,41006,0,182,182,22,0,0,0,0,0,0,0
1,41006,1,182,182,24,0,0,0,0,0,0,0
1,41006,0,182,182,22,0,0,0,0,0,0,0
1,41006,1,159,182,24,0,0,0,0,0,0,0
1,41006,0,182,182,22,0,0,0,0,0,0,0
1,41006,1,182,182,24,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
2,41006,0,182,182,22,0,0,0,0,0,0,0
3,41006,0,225,182,22,1,1,1,1,1,1,1
4,41006,0,245,182,22,1,1,1,1,1,1,1
5,41006,0,225,182,22,1,1,1,1,1,1,1
0,41007,0,204,204,0,0,0,0,0,0,0,0
0,41007,0,204,204,0,0,0,0,0,0,0,0
0,41007,0,204,204,0,0,0,0,0,0,0,0
0,41007,0,204,204,0,0,0,0,0,0,0,0
0,41007,1,182,182,0,0,0,0,0,0,0,0
0,41007,1,182,182,0,0,0,0,0,0,0,0
0,41007,1,182,182,0,0,0,0,0,0,0,0
0,41007,1,182,182,0,0,0,0,0,0,0,0
1,41007,0,204,204,22,0,0,0,0,0,0,0
1,41007,1,182,182,24,0,0,0,0,0,0,0
1,41007,0,204,204,22,0,0,0,0,0,0,0
1,41007,1,182,182,24,0,0,0,0,0,0,0
1,41007,0,182,204,22,0,0,0,0,0,0,0
1,41007,1,159,182,24,0,0,0,0,0,0,0
1,41007,0,204,204,22,0,0,0,0,0,0,0
1,41007,1,182,182,24,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,182,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
2,41007,0,182,204,22,0,0,0,0,0,0,0
2,41007,0,204,204,22,0,0,0,0,0,0,0
3,41007,0,225,204,22,0,0,1,1,0,1,1
4,41007,0,264,204,22,1,1,1,1,1,1,1
5,41007,0,225,204,22,0,0,1,1,0,1,1
0,41008,0,182,182,0,0,0,0,0,0,0,0
0,41008,0,182,182,0,0,0,0,0,0,0,0
0,41008,0,182,182,0,0,0,0,0,0,0,0
0,41008,0,182,182,0,0,0,0,0,0,0,0
0,41008,1,159,159,0,0,0,0,0,0,0,0
0,41008,1,159,159,0,0,0,0,0,0,0,0
0,41008,1,159,159,0,0,0,0,0,0,0,0
0,41008,1,159,159,0,0,0,0,0,0,0,0
1,41008,0,182,182,22,0,0,0,0,0,0,0
1,41008,1,159,159,24,0,0,0,0,0,0,0
1,41008,0,182,182,22,0,0,0,0,0,0,0
1,41008,1,159,159,24,0,0,0,0,0,0,0
1,41008,0,182,182,22,0,0,0,0,0,0,0
1,41008,1,159,159,24,0,0,0,0,0,0,0
1,41008,0,182,182,22,0,0,0,0,0,0,0
1,41008,1,159,159,24,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
2,41008,0,182,182,22,0,0,0,0,0,0,0
3,41008,0,225,182,22,1,1,1,1,1,1,1
4,41008,0,245,182,22,1,1,1,1,1,1,1
5,41008,0,225,182,22,1,1,1,1,1,1,1
0,41009,0,182,187,0,0,0,0,0,0,0,0
0,41009,0,182,187,0,0,0,0,0,0,0,0
0,41009,0,204,187,0,0,0,0,0,0,0,0
0,41009,0,182,187,0,0,0,0,0,0,0,0
0,41009,1,159,159,0,0,0,0,0,0,0,0
0,41009,1,159,159,0,0,0,0,0,0,0,0
0,41009,1,159,159,0,0,0,0,0,0,0,0
0,41009,1,159,159,0,0,0,0,0,0,0,0
1,41009,0,182,187,22,0,0,0,0,0,0,0
1,41009,1,159,159,24,0,0,0,0,0,0,0
1,41009,0,182,187,22,0,0,0,0,0,0,0
1,41009,1,159,159,24,0,0,0,0,0,0,0
1,41009,0,182,187,22,0,0,0,0,0,0,0
1,41009,1,159,159,24,0,0,0,0,0,0,0
1,41009,0,182,187,22,0,0,0,0,0,0,0
1,41009,1,159,159,24,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,204,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
2,41009,0,182,187,22,0,0,0,0,0,0,0
3,41009,0,225,187,22,1,1,1,1,1,1,1
4,41009,0,245,187,22,1,1,1,1,1,1,1
5,41009,0,225,187,22,1,1,1,1,1,1,1
0,41010,0,182,182,0,0,0,0,0,0,0,0
0,41010,0,182,182,0,0,0,0,0,0,0,0
0,41010,0,182,182,0,0,0,0,0,0,0,0
0,41010,0,182,182,0,0,0,0,0,0,0,0
0,41010,1,159,159,0,0,0,0,0,0,0,0
0,41010,1,159,159,0,0,0,0,0,0,0,0
0,41010,1,159,159,0,0,0,0,0,0,0,0
0,41010,1,159,159,0,0,0,0,0,0,0,0
1,41010,0,182,182,22,0,0,0,0,0,0,0
1,41010,1,159,159,24,0,0,0,0,0,0,0
1,41010,0,182,182,22,0,0,0,0,0,0,0
1,41010,1,159,159,24,0,0,0,0,0,0,0
1,41010,0,182,182,22,0,0,0,0,0,0,0
1,41010,1,135,159,24,0,0,0,0,0,0,0
1,41010,0,182,182,22,0,0,0,0,0,0,0
1,41010,1,159,159,24,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
2,41010,0,182,182,22,0,0,0,0,0,0,0
3,41010,0,225,182,22,1,1,1,1,1,1,1
4,41010,0,245,182,22,1,1,1,1,1,1,1
