T_POS,rule,healthy_rise_samples,healthy_positive_false_alarms,healthy_positive_false_alarm_rate,D01_samples,D01_detected,D01_coverage,D02_samples,D02_detected,D02_coverage,diagnostic_only,formal_margin_unchanged
82,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
83,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
84,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
85,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
86,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
87,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
88,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
89,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
90,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
91,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
92,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
93,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
94,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
95,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
96,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
97,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
98,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
99,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
100,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
101,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
102,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
103,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
104,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
105,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
106,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
107,signed_e > T_POS,360,0,0.0,30,0,0.0,30,0,0.0,True,"RISE=22,FALL=24"
