dataset,seed,event_index,event,M_FF,M_REF_RISE,signed_e,abs_e,q_ff,existing_abs_margin_alarm,diagnostic_signed_T18_alarm
healthy_rise,41004,8,86.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,10,106.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,12,126.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,14,146.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,16,171.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,18,191.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,20,211.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41004,22,231.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41005,0,1.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,2,21.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,4,41.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,6,61.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,8,86.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,10,106.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,12,126.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,14,146.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,16,171.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,18,191.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,20,211.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41005,22,231.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41006,0,1.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,2,21.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,4,41.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,6,61.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,8,86.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,10,106.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,12,126.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,14,146.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,16,171.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,18,191.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,20,211.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41006,22,231.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41007,0,1.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,2,21.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,4,41.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,6,61.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,8,86.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,10,106.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,12,126.0 ns RISE,182,204,-22,22,000000000000000000000001111111,0,0
healthy_rise,41007,14,146.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,16,171.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,18,191.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41007,20,211.0 ns RISE,182,204,-22,22,000000000000000000000001111111,0,0
healthy_rise,41007,22,231.0 ns RISE,204,204,0,0,000000000000000000000011111111,0,0
healthy_rise,41008,0,1.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,2,21.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,4,41.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,6,61.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,8,86.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,10,106.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,12,126.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,14,146.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,16,171.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,18,191.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,20,211.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41008,22,231.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41009,0,1.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,2,21.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,4,41.0 ns RISE,204,187,17,17,000000000000000000000011111111,0,0
healthy_rise,41009,6,61.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,8,86.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,10,106.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,12,126.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,14,146.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,16,171.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,18,191.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,20,211.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41009,22,231.0 ns RISE,182,187,-5,5,000000000000000000000001111111,0,0
healthy_rise,41010,0,1.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,2,21.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,4,41.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,6,61.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
healthy_rise,41010,8,86.0 ns RISE,182,182,0,0,000000000000000000000001111111,0,0
