seed,segment,event_index,polarity,M_FF,M_REF,D_M,margin,healthy_alarm
41006,FPR,20,RISE,182,182,0,22,0
41006,FPR,21,FALL,159,182,23,24,0
41006,FPR,22,RISE,182,182,0,22,0
41006,FPR,23,FALL,182,182,0,24,0
41007,FPR,16,RISE,204,204,0,22,0
41007,FPR,17,FALL,182,182,0,24,0
41007,FPR,18,RISE,204,204,0,22,0
41007,FPR,19,FALL,182,182,0,24,0
41007,FPR,20,RISE,182,204,22,22,0
41007,FPR,21,FALL,159,182,23,24,0
41007,FPR,22,RISE,204,204,0,22,0
41007,FPR,23,FALL,182,182,0,24,0
41008,FPR,16,RISE,182,182,0,22,0
41008,FPR,17,FALL,159,159,0,24,0
41008,FPR,18,RISE,182,182,0,22,0
41008,FPR,19,FALL,159,159,0,24,0
41008,FPR,20,RISE,182,182,0,22,0
41008,FPR,21,FALL,159,159,0,24,0
41008,FPR,22,RISE,182,182,0,22,0
41008,FPR,23,FALL,159,159,0,24,0
41009,FPR,16,RISE,182,187,5,22,0
41009,FPR,17,FALL,159,159,0,24,0
41009,FPR,18,RISE,182,187,5,22,0
41009,FPR,19,FALL,159,159,0,24,0
41009,FPR,20,RISE,182,187,5,22,0
41009,FPR,21,FALL,159,159,0,24,0
41009,FPR,22,RISE,182,187,5,22,0
41009,FPR,23,FALL,159,159,0,24,0
41010,FPR,16,RISE,182,182,0,22,0
41010,FPR,17,FALL,159,159,0,24,0
41010,FPR,18,RISE,182,182,0,22,0
41010,FPR,19,FALL,159,159,0,24,0
41010,FPR,20,RISE,182,182,0,22,0
41010,FPR,21,FALL,135,159,24,24,0
41010,FPR,22,RISE,182,182,0,22,0
41010,FPR,23,FALL,159,159,0,24,0
41011,FPR,16,RISE,159,176,17,22,0
41011,FPR,17,FALL,159,159,0,24,0
41011,FPR,18,RISE,159,176,17,22,0
41011,FPR,19,FALL,159,159,0,24,0
41011,FPR,20,RISE,159,176,17,22,0
41011,FPR,21,FALL,159,159,0,24,0
41011,FPR,22,RISE,182,176,6,22,0
41011,FPR,23,FALL,159,159,0,24,0
41012,FPR,16,RISE,204,204,0,22,0
41012,FPR,17,FALL,182,182,0,24,0
41012,FPR,18,RISE,204,204,0,22,0
41012,FPR,19,FALL,182,182,0,24,0
41012,FPR,20,RISE,182,204,22,22,0
41012,FPR,21,FALL,159,182,23,24,0
41012,FPR,22,RISE,204,204,0,22,0
41012,FPR,23,FALL,182,182,0,24,0
41013,FPR,16,RISE,225,235,10,22,0
41013,FPR,17,FALL,204,204,0,24,0
41013,FPR,18,RISE,225,235,10,22,0
41013,FPR,19,FALL,204,204,0,24,0
41013,FPR,20,RISE,225,235,10,22,0
41013,FPR,21,FALL,204,204,0,24,0
41013,FPR,22,RISE,245,235,10,22,0
41013,FPR,23,FALL,204,204,0,24,0
41014,FPR,16,RISE,182,182,0,22,0
41014,FPR,17,FALL,159,159,0,24,0
41014,FPR,18,RISE,182,182,0,22,0
41014,FPR,19,FALL,159,159,0,24,0
41014,FPR,20,RISE,182,182,0,22,0
41014,FPR,21,FALL,159,159,0,24,0
41014,FPR,22,RISE,182,182,0,22,0
41014,FPR,23,FALL,159,159,0,24,0
41015,FPR,16,RISE,204,204,0,22,0
41015,FPR,17,FALL,159,159,0,24,0
41015,FPR,18,RISE,204,204,0,22,0
41015,FPR,19,FALL,159,159,0,24,0
41015,FPR,20,RISE,204,204,0,22,0
41015,FPR,21,FALL,159,159,0,24,0
41015,FPR,22,RISE,204,204,0,22,0
41015,FPR,23,FALL,159,159,0,24,0
41016,FPR,16,RISE,182,182,0,22,0
41016,FPR,17,FALL,159,159,0,24,0
41016,FPR,18,RISE,182,182,0,22,0
41016,FPR,19,FALL,159,159,0,24,0
41016,FPR,20,RISE,182,182,0,22,0
41016,FPR,21,FALL,159,159,0,24,0
41016,FPR,22,RISE,182,182,0,22,0
41016,FPR,23,FALL,159,159,0,24,0
41017,FPR,16,RISE,182,198,16,22,0
41017,FPR,17,FALL,182,170,12,24,0
41017,FPR,18,RISE,182,198,16,22,0
41017,FPR,19,FALL,159,170,11,24,0
41017,FPR,20,RISE,182,198,16,22,0
41017,FPR,21,FALL,159,170,11,24,0
41017,FPR,22,RISE,204,198,6,22,0
41017,FPR,23,FALL,159,170,11,24,0
41018,FPR,16,RISE,204,219,15,22,0
41018,FPR,17,FALL,204,193,11,24,0
41018,FPR,18,RISE,204,219,15,22,0
41018,FPR,19,FALL,182,193,11,24,0
41018,FPR,20,RISE,204,219,15,22,0
41018,FPR,21,FALL,182,193,11,24,0
41018,FPR,22,RISE,225,219,6,22,0
41018,FPR,23,FALL,182,193,11,24,0
41019,FPR,16,RISE,182,187,5,22,0
41019,FPR,17,FALL,159,159,0,24,0
41019,FPR,18,RISE,182,187,5,22,0
41019,FPR,19,FALL,159,159,0,24,0
41019,FPR,20,RISE,182,187,5,22,0
41019,FPR,21,FALL,135,159,24,24,0
41019,FPR,22,RISE,182,187,5,22,0
41019,FPR,23,FALL,159,159,0,24,0
41020,FPR,16,RISE,159,159,0,22,0
41020,FPR,17,FALL,135,135,0,24,0
41020,FPR,18,RISE,159,159,0,22,0
