seed,mc_random_signature,target_event,q_ff_target,M_FF_target,M_REF_RISE,D_M,locked_rise_margin,H_D,detected,pre_attack_alarm_count,first_alarm_latency_ns,first_alarm_latency_basis,rail_resolved,source_measurements_sha256,source_mc0_sha256,capture_sha256
41019,fd0a0b5a62db110824da9ed6ded63e50260b11ce3e2857d8c0d5e1802b43acb5,21 ns RISE,000000000000000000001111111111,245,187,58,22,36,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,8e005f0b8a148871c24351b3124499c3b9aec55857b233eb7c92a90097ea73b7,a68c2e08621d735fc18c1387cdb7160766d0a9d2e4ae19b878cc2c771e3476a0,d8e29fce0078307b43470cb1a84246bebab752b5f3625e6f2f596a23f2d6862f
41020,057b4f67032f525c904f4a6c0c293606789132adac5b5a8f442228cf5eee3f01,21 ns RISE,000000000000000000000111111111,225,159,66,22,44,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,4c0235ae7aa33dd2dc9fa9cf46ffaa2b619e3b57973f7f67a310ff67014b2999,ff36e813cbf434c2ac5d028f310e6ff3b556d820af1c2fa38a75442b0b40ce7e,aea3c951b64b652b812d9de175cd0e47bf527d7478b20ab26cdcb7308870d4a3
41021,2ce1fc0342bede38f029ca88fe66b503c962de181c40c98b0d1bea91c55b07b7,21 ns RISE,000000000000000000001111111111,245,182,63,22,41,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,429fd16f592c5e6b6063407e00c91b4531bcaa683f0fc967bbb959a6db65eb69,27a7ea18d23eea6ee9b98c825bc9ac2ab40a2e6d52a9c07b92c47231b12d9456,aa9ded5a969f22d2801ede1d318a31a9420bdc50e2b43b58f097b7eb9ca0a897
41022,0c7782e877ccf0bab7ce0e0137d86236866b6f7e0fa50dfc4be6dcdda05bfa5d,21 ns RISE,000000000000000000001111111111,245,204,41,22,19,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,22ba229c6f6fc72af1bff29fdae5a361acafab874a3f8cacc9507c64bea5360a,2c5118d329d4c24eb0bde53d28f1f46d5974437706a353b6d1f40d25103f6c26,f035d477f42db2646d7e132837857a43b83509ad596d541c371ec6fece3daba7
41023,84f87b94eb0649b56da2ef95989c7285f2d5646957fbbf6e040dcba60f04decb,21 ns RISE,000000000000000000011111111111,264,209,55,22,33,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,59600cc9a9304bd0a28df7fc9cd2fd1e462a011965c220a17728579984c62df1,33e5db3676bad81e1bb1213a1c55b317c1e333ada5a092432726aba3cec87c00,ace8c32518ab09f70983421570ae4275a16beea869fc98600014afe6617d231a
41024,bedfc4ae8a4e4d2cc1e290e635b8811deb495565d982c25381bfbb314d16e19b,21 ns RISE,000000000000000000000111111111,225,164,61,22,39,1,1,20.534524618566998,derived_fixed_tim0_pipeline,True,53f0defd21c1cd18db5072b1aa5eaf7b61d27af0303ee5aa2236432698a723a5,bf3a49e1e80cf98e693dc53cf1efe83c03e27da6bf5b3b613b52e1b52cb631fa,aea3c951b64b652b812d9de175cd0e47bf527d7478b20ab26cdcb7308870d4a3
41025,f0b2949e77adbd5946f383bee01df953a1bfb187950354ff55523168360548dc,21 ns RISE,000000000000000000111111111111,282,225,57,22,35,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,29ec6f905921d3d573a1b9fe73091e20cf7ef0cb4ffa2452144acc715de1db9b,b5c81cca61f9f9bebdf46eb0d34ac11f3a5802a7e7f5cedaeb12181b9afc81d6,008455e8fd589b81e500ecff15ba9ab4afb9e91047617a89ea12f3ccf271896c
41026,e70f1d64563bbdab8af19e602b1e4e382a8d8fa09fc38105106fc9a6eb1f377b,21 ns RISE,000000000000000000000111111111,225,164,61,22,39,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,d776da6d990a62db2b849a5f70751bb4dcd2417349483c1335ac24c8cff46ec5,934828f644054aa1005c4e32954a7b35f30b9dcb30fbaec4107d2ef21f2c49eb,9006acd378147394ba593c00668df6079c413ecd209dd492477e1c333dd5d4fe
41027,946dfa47654e4f0c03723f92a972e36befbeeebaba206d020eec60291d5f72dc,21 ns RISE,000000000000000000000111111111,225,153,72,22,50,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,39433efa286e5858cda588ceaafd5f6e5b233a27fdb9aab7b187a7cdefec83b2,8ebb7fe738c9a2ea3cbff6f7ecbd66e846524139c454389538166264e4cef7e4,085583ed35348b1cc3b83ee1279c58891cff001c75dc512f65929839deb9049b
41028,f8f31ed95a933b7a48bf1a4b7797af1cb9f079fc5d5614bd2571ddb35eaebc93,21 ns RISE,000000000000000000011111111111,264,204,60,22,38,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,87eddcdb207656a45cec6034eea81479755e43ed07a8ca8eef93feb5bb0e8a88,33df3d47dc551e90fb9c44187831a3ce18ab8f46d51e2cbca8b00441b7492670,fd16a17f42ae4a976c35b497a543418491e293ea4bbcd64e16641247d14d00cb
41029,fda09ea699b722b6216f33f143080294d948c5b5806d81a0b49c4f2b578991a0,21 ns RISE,000000000000000000000111111111,225,159,66,22,44,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,13fbe21c68d102d1bc50217efe96b14081b7283970b8faa79ff544120cfe79e2,95ee7a1f7eb0ba54274bda326318319f62f27ff8a96bc373a62e8fb4c39932c2,9006acd378147394ba593c00668df6079c413ecd209dd492477e1c333dd5d4fe
41030,51313437e0071309e73daffa0a73fca3ce6ee3f665745e02742add2cb2ffa023,21 ns RISE,000000000000000000011111111111,264,198,66,22,44,1,0,20.534524618566998,derived_fixed_tim0_pipeline,True,df772dec074308ba94f80e7a66605158a85032a60f406081feb4019a6ffe7c35,b71ef4466274466a01181e67fa5a3e3d8aecf241155daf6272d0b6b78cc12e05,feb960612b3aa40f45a76ade639d51350f62b2e94437d84df8ede4596468a76b
